"additionalInfo/Accessibility/0/Assistive hearing loop","additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible car park","additionalInfo/Accessibility/0/Wheelchair-accessible entrance","additionalInfo/Accessibility/0/Wheelchair-accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible toilet","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible entrance","additionalInfo/Accessibility/1/Wheelchair-accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible toilet","additionalInfo/Accessibility/2/Wheelchair accessible entrance","additionalInfo/Accessibility/2/Wheelchair accessible parking lot","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible toilet","additionalInfo/Accessibility/3/Wheelchair accessible parking lot","additionalInfo/Accessibility/3/Wheelchair accessible restroom","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair-accessible toilet","additionalInfo/Accessibility/4/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Gender-neutral toilets","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Amenities/1/Toilets","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Parking/0/Free of charge street parking","additionalInfo/Parking/0/Free parking garage","additionalInfo/Parking/0/Free parking lot","additionalInfo/Parking/0/Free street parking","additionalInfo/Parking/0/On-site parking","additionalInfo/Parking/0/Paid parking garage","additionalInfo/Parking/0/Paid parking lot","additionalInfo/Parking/0/Paid street parking","additionalInfo/Parking/1/Free parking lot","additionalInfo/Parking/1/Free street parking","additionalInfo/Parking/1/On-site parking","additionalInfo/Parking/1/Paid parking garage","additionalInfo/Parking/1/Paid parking lot","additionalInfo/Parking/1/Paid street parking","additionalInfo/Parking/2/Free street parking","additionalInfo/Parking/2/On-site parking","additionalInfo/Parking/2/Paid parking lot","additionalInfo/Parking/2/Paid street parking","additionalInfo/Parking/3/On-site parking","additionalInfo/Parking/3/Paid multi-storey car park","additionalInfo/Parking/3/Paid parking lot","additionalInfo/Parking/3/Paid street parking","additionalInfo/Parking/4/Paid parking garage","additionalInfo/Parking/4/Paid parking lot","additionalInfo/Parking/4/Paid street parking","additionalInfo/Parking/5/Paid parking lot","additionalInfo/Parking/6/Paid street parking","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/On-site services","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
,"true",,,,,,,,,"true",,,,,,,,"true",,,,,,"true",,,"true",,,,"true",,"true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,"Bahçeşehir 2. Kısım, Mercedes Bulvari No:28 İç Kapı No 16, 34488 Başakşehir/İstanbul, Türkiye","Dental clinic","Dental implants periodontist","Dental implants provider","Dental radiology","Dentist","Endodontist","Oral surgeon","Orthodontist","Periodontist","Teeth whitening service","Dental clinic","2067754758408346925","Başakşehir","false","TR","0x14caa7ebb37a51a1:0x1cb223ff518d9d2d",,"https://lh5.googleusercontent.com/p/AF1QipOOb-2-b-rb0n6Ivs4hYiyEF_2aUqUNSV135Ae2=w408-h306-k-no","51","false","/g/11j5kq0bgb","41.0915603","28.6466479","Bahçeşehir 2. Kısım","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","9 AM to 7 PM","false","+90 538 370 78 44","+905383707844","ChIJoVF6s-unyhQRLZ2NUf8jshw","34488",,"1","145",,,,,,"2024-12-13T09:41:15.003Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.10164060008662,28.65986455619299,14z?hl=en","diş hekimleri","İstanbul","Mercedes Bulvari No:28 İç Kapı No 16",,"false","BAHÇEŞEHİR DİNAMİK DİŞ KLİNİĞİ","4.8","https://www.google.com/maps/search/?api=1&query=BAH%C3%87E%C5%9EEH%C4%B0R%20D%C4%B0NAM%C4%B0K%20D%C4%B0%C5%9E%20KL%C4%B0N%C4%B0%C4%9E%C4%B0&query_place_id=ChIJoVF6s-unyhQRLZ2NUf8jshw","http://www.dinamikdis.com/"
,"true",,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,"Bahçeşehir 2. Kısım, Aldemir Sk Ticaret Merkezi D:1.Blok No:2 Kat:3, 34480 Bahçeşehir/İstanbul, Türkiye","Dentist",,,,,,,,,,"Dentist","17351807218398161048","Bahçeşehir","false","TR","0x14b55860b9011885:0xf0ce00bb37ae6898",,"https://lh5.googleusercontent.com/p/AF1QipNb9NFRYx3239TRCNHIU8W_6wpBn59EXbTRH5Pf=w408-h414-k-no","14","false","/g/11t0vb3486","41.0875314","28.6512236","Bahçeşehir 2. Kısım","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 1 PM","Sunday","Closed","false","+90 555 010 31 11","+905550103111","ChIJhRgBuWBYtRQRmGiuN7sAzvA","34480",,"2","17",,,,,,"2024-12-13T09:41:15.004Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.10164060008662,28.65986455619299,14z?hl=en","diş hekimleri","İstanbul","Aldemir Sk Ticaret Merkezi D:1.Blok No:2 Kat:3",,"false","Diş Hekimi Sevcan Tuç","4.5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Sevcan%20Tu%C3%A7&query_place_id=ChIJhRgBuWBYtRQRmGiuN7sAzvA","https://www.doktorsitesi.com/dt-sevcan-tuc/dis-hekimi/istanbul"
,"true",,,,,,,,,"true",,,,,,,,"true",,,,,,"true",,,"true",,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bahçeşehir 2. Kısım, AVRUPARK SİTESİ, Şht. Asteğmen Furkan Işik Bulvari D:27V, 34488 Başakşehir/İstanbul, Türkiye","Dental clinic","Dental hygienist","Dental implants provider","Dentist","Orthodontist",,,,,,"Dental clinic","9117078865525077818","Başakşehir","false","TR","0x14b559649cd1b6cb:0x7e865eec80d7f73a",,"https://lh5.googleusercontent.com/p/AF1QipN0idHvCzbn-lSEJWgkQ_adfbzEHpy2HnvhDRpJ=w408-h306-k-no","20","false","/g/11rr2jfnmf","41.0853708","28.6555329","Bahçeşehir 2. Kısım","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 507 480 02 80","+905074800280","ChIJy7bRnGRZtRQROvfXgOxehn4","34488",,"3","115",,,,,,"2024-12-13T09:41:15.004Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.10164060008662,28.65986455619299,14z?hl=en","diş hekimleri","İstanbul","AVRUPARK SİTESİ, Şht. Asteğmen Furkan Işik Bulvari D:27V",,"false","BAHÇEKENT AĞIZ VE DİŞ SAĞLIĞI POLİKLİNİĞİ","4.9","https://www.google.com/maps/search/?api=1&query=BAH%C3%87EKENT%20A%C4%9EIZ%20VE%20D%C4%B0%C5%9E%20SA%C4%9ELI%C4%9EI%20POL%C4%B0KL%C4%B0N%C4%B0%C4%9E%C4%B0&query_place_id=ChIJy7bRnGRZtRQROvfXgOxehn4","http://www.bahcekentklinik.com/"
,"true",,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bahçeşehir 2. Kısım, Bahçekent flora 26ı, 10. Yıl Cd, 34488 Başakşehir/İstanbul, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","11200995626308552307","Başakşehir","false","TR","0x14b55867841151e7:0x9b71ee2d3cd34673",,"https://lh5.googleusercontent.com/p/AF1QipORgsy0667bxTIpSlQRl3eO6AQqz9jO8FopMYFR=w408-h271-k-no","44","false","/g/11tjpypknw","41.0914032","28.6494818","Bahçeşehir 2. Kısım","Monday","9 AM to 11 PM","Tuesday","9 AM to 11 PM","Wednesday","9 AM to 11 PM","Thursday","9 AM to 11 PM","Friday","9 AM to 11 PM","Saturday","9 AM to 11 PM","Sunday","12 to 11 PM","false","+90 212 569 61 61","+902125696161","ChIJ51ERhGdYtRQRc0bTPC3ucZs","34488",,"4","74",,,,,,"2024-12-13T09:41:15.004Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.10164060008662,28.65986455619299,14z?hl=en","diş hekimleri","İstanbul","Bahçekent flora 26ı, 10. Yıl Cd",,"false","Dent Elitium Bahçeşehir","4.2","https://www.google.com/maps/search/?api=1&query=Dent%20Elitium%20Bah%C3%A7e%C5%9Fehir&query_place_id=ChIJ51ERhGdYtRQRc0bTPC3ucZs","http://dentelitium.com/"
,"true",,,,,,,,,"true",,,,,,,,"true",,,,,,"true",,,,,"true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bahçeşehir 2. Kısım, Mercedes Bulvari No:28-A D:78, 34488 Başakşehir/İstanbul, Türkiye","Dental clinic","Dental implants provider","Dentist","Denture care center","Endodontist","Orthodontist","Pediatric dentist","Periodontist","Prosthodontist",,"Dental clinic","3358013333496205098","Başakşehir","false","TR","0x14b5598e3cc2a263:0x2e9a0f55d6110f2a",,"https://lh5.googleusercontent.com/p/AF1QipPydr7hWYPcckIHB4UNyODN6KAAYnhmX5hZMrDJ=w425-h240-k-no","73","false","/g/11sd_wwbc6","41.0921488","28.6464901","Bahçeşehir 2. Kısım","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 544 694 64 40","+905446946440","ChIJY6LCPI5ZtRQRKg8R1lUPmi4","34488",,"5","214",,,,,,"2024-12-13T09:41:15.004Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.10164060008662,28.65986455619299,14z?hl=en","diş hekimleri","İstanbul","Mercedes Bulvari No:28-A D:78",,"false","İkon Ağız ve Diş Sağlığı Polikliniği Bahçeşehir Şubesi","4.8","https://www.google.com/maps/search/?api=1&query=%C4%B0kon%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi%20Bah%C3%A7e%C5%9Fehir%20%C5%9Eubesi&query_place_id=ChIJY6LCPI5ZtRQRKg8R1lUPmi4","https://www.ikondis.com/"
,"true",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,"Bahçeşehir 2. Kısım, Ahmet Taner Kışlalı Blv no: 17, 34488 Başakşehir/İstanbul, Türkiye","Dentist",,,,,,,,,,"Dentist","9082150281197507166","Başakşehir","false","TR","0x14cabb446a5980e3:0x7e0a478fbb7dd25e",,"https://lh5.googleusercontent.com/p/AF1QipMLtmS-lKzKHGMIdlxlFwSl8Sx9BKAAdysOIZhg=w408-h255-k-no","22","false","/g/11tfctbfpf","41.0635198","28.6819745","Bahçeşehir 2. Kısım","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10 AM to 7 PM","Sunday","Closed","false","+90 553 414 89 00","+905534148900","ChIJ44BZakS7yhQRXtJ9u49HCn4","34488",,"7","188",,,,,,"2024-12-13T09:41:15.004Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.10164060008662,28.65986455619299,14z?hl=en","diş hekimleri","İstanbul","Ahmet Taner Kışlalı Blv no: 17",,"false","Diş Hekimi İsmail Tufan Yüter","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20%C4%B0smail%20Tufan%20Y%C3%BCter&query_place_id=ChIJ44BZakS7yhQRXtJ9u49HCn4","https://dt.ismailtufan.net/"
,"true",,,,,,,,,"true",,,,,,,,"true",,,,,,"true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cumhuriyet Mh Atatürk Blv Beycity Residans, D:3 /9, 34520 Beylikdüzü/İstanbul, Türkiye","Dental clinic","Dental hygienist","Dental implants periodontist","Dental radiology","Dentist","Denture care center","Emergency dental service","Oral surgeon","Pediatric dentist",,"Dental clinic","10554079844605877948","Beylikdüzü","false","TR","0x14b55f28d4a93357:0x92779fb364d7debc",,"https://lh5.googleusercontent.com/p/AF1QipNv-4M1ebcd7rHSU5Tkwl5kB42BWG-fc8Fx1ls_=w408-h407-k-no","311","false","/g/11g1dt033_","41.0117003","28.6427482","Cumhuriyet","Monday","9 AM to 8 PM","Tuesday","9 AM to 8 PM","Wednesday","9 AM to 8 PM","Thursday","9 AM to 8 PM","Friday","9 AM to 8 PM","Saturday","9 AM to 8 PM","Sunday","Closed","false","+90 212 880 86 86","+902128808686","ChIJVzOp1ChftRQRvN7XZLOfd5I","34520",,"3","822",,,,,,"2024-12-13T09:41:15.183Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.998944450173205,28.65986455619299,14z?hl=en","diş hekimleri","İstanbul","Cumhuriyet Mh Atatürk Blv Beycity Residans, D:3 /9",,"false","Peradent Ağız Ve Diş Kliniği","4.9","https://www.google.com/maps/search/?api=1&query=Peradent%20A%C4%9F%C4%B1z%20Ve%20Di%C5%9F%20Klini%C4%9Fi&query_place_id=ChIJVzOp1ChftRQRvN7XZLOfd5I","http://www.peradent.com/"
,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bahçeşehir 2. Kısım, Boğazköy Cd., 34488 Başakşehir/İstanbul, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","1263425035897991090","Başakşehir","false","TR","0x14b55884e410ab37:0x118896605108efb2",,"https://lh5.googleusercontent.com/p/AF1QipOctyZ0j8uwnyHvBese1vXJLUMR6wU4iNph1rQq=w408-h399-k-no","5","false","/g/11bx8q8zy2","41.0721009","28.6646872","Bahçeşehir 2. Kısım","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 212 607 33 44","+902126073344","ChIJN6sQ5IRYtRQRsu8IUWCWiBE","34488",,"8","37",,,,,,"2024-12-13T09:41:15.004Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.10164060008662,28.65986455619299,14z?hl=en","diş hekimleri","İstanbul","Boğazköy Cd.","GLOBALDENT","false","GlobalDent","4.7","https://www.google.com/maps/search/?api=1&query=GlobalDent&query_place_id=ChIJN6sQ5IRYtRQRsu8IUWCWiBE","http://www.globaldent-sth.com.tr/"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"İnönü, 352. Sk. No:1/B, 34510 Esenyurt/İstanbul, Türkiye","Dentist",,,,,,,,,,"Dentist","5460031429493415388","Esenyurt","false","TR","0x14caa1f31443b0c3:0x4bc5eda8196c5ddc",,"https://lh5.googleusercontent.com/p/AF1QipN97oPTER2msUpRO5llI_6N_AJ9Z8lSF6uY71MW=w408-h409-k-no","13","false","/g/11fphkmfc_","41.0220273","28.6881574","İnönü","Monday","9 AM to 7 PM","Tuesday","9 AM to 9 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 9 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 212 596 44 00","+902125964400","ChIJw7BDFPOhyhQR3F1sGajtxUs","34510",,"5","36",,,,,,"2024-12-13T09:41:15.183Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.998944450173205,28.65986455619299,14z?hl=en","diş hekimleri","İstanbul","352. Sk. No:1/B",,"false","Dişhekimi Tenzil ADSIZ ÖZMEN","4.7","https://www.google.com/maps/search/?api=1&query=Di%C5%9Fhekimi%20Tenzil%20ADSIZ%20%C3%96ZMEN&query_place_id=ChIJw7BDFPOhyhQR3F1sGajtxUs","https://www.instagram.com/dishekimitenzil/"
,"true",,,,,,,,,"true",,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,"Çarşı Blok Dış Kapı:, Barış Mah. Peyami Safa sk, 1/9 İç kapı:71, 34520 Beylikdüzü/İstanbul, Türkiye","Dental clinic","Cosmetic dentist","Dental hygienist","Dental implants periodontist","Dental implants provider","Dentist","Emergency dental service","Orthodontist","Pediatric dentist","Periodontist","Dental clinic","12473766677058366970","Beylikdüzü","false","TR","0x14b55f9f1677dfd1:0xad1bb8b4352b2dfa",,"https://lh5.googleusercontent.com/p/AF1QipMtyiFTC-Xq_J2VqdqwWjU7ZY4T7zRzx6l38RwX=w408-h272-k-no","167","false","/g/11g5_4ndlt","41.0057714","28.6512557","Barış","Monday","9:30 AM to 8 PM","Tuesday","9:30 AM to 8 PM","Wednesday","9:30 AM to 8 PM","Thursday","9:30 AM to 8 PM","Friday","9:30 AM to 8 PM","Saturday","9:30 AM to 6 PM","Sunday","Closed","false","+90 533 063 06 56","+905330630656","ChIJ0d93Fp9ftRQR-i0rNbS4G60","34520",,"6","505",,,,,,"2024-12-13T09:41:15.183Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.998944450173205,28.65986455619299,14z?hl=en","diş hekimleri","İstanbul","Çarşı Blok Dış Kapı:, Barış Mah. Peyami Safa sk, 1/9 İç kapı:71",,"false","Net Dental Clinic / dr.tanyel","5","https://www.google.com/maps/search/?api=1&query=Net%20Dental%20Clinic%20%2F%20dr.tanyel&query_place_id=ChIJ0d93Fp9ftRQR-i0rNbS4G60","https://netdentalclinic.com/"
