"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair-accessible toilet","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair-accessible entrance","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
"true",,,,"true",,,"true",,,"true",,,,"diş kliniği, Yenişehir mahallesi lise 3 caddesi yılmaz 2015 apartmani, no 1, 21010 Yenişehir/Diyarbakır, Türkiye","Dental clinic",,,,"Dental clinic","17166913514931484383","Yenişehir","false","TR","0x4075215c96245f47:0xee3d20e33b57f6df",,"https://lh5.googleusercontent.com/p/AF1QipPzBVCJ9wGZr_8VB0WR8B30zBaiyR0PjfOvVNta=w408-h544-k-no","87","false","/g/11k6k4dsnl","37.917604","40.2287331","Yenişehir","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 6 PM","Sunday","Closed","false","+90 552 756 00 75","+905527560075","ChIJR18kllwhdUAR3_ZXO-MgPe4","21010",,"2","132","2024-12-13T09:43:21.406Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.87557400046268,40.23635420000001,16z?hl=en","diş hekimleri","Diyarbakır","diş kliniği, Yenişehir mahallesi lise 3 caddesi yılmaz 2015 apartmani, no 1",,"false","VİLAYET DİŞ KLİNİĞİ","4.9","https://www.google.com/maps/search/?api=1&query=V%C4%B0LAYET%20D%C4%B0%C5%9E%20KL%C4%B0N%C4%B0%C4%9E%C4%B0&query_place_id=ChIJR18kllwhdUAR3_ZXO-MgPe4","https://instagram.com/vilayetdisklinigi?utm_medium=copy_link"
"true",,,,"true",,,"true",,,"true",,,,"Kooperatifler, Akkoyunlu 4. Sk. No:10/B, 21100 Yenişehir/Diyarbakır, Türkiye","Dentist",,,,"Dentist","12828283719314011403","Yenişehir","false","TR","0x4075216cdbbbd0cf:0xb207381357a3750b",,"https://lh5.googleusercontent.com/p/AF1QipP_Gro9dbxG0kQqeth41588dbgdm9faCiwpqHV_=w408-h906-k-no","2","false","/g/11sdqcfs3p","37.9212022","40.2201095","Kooperatifler","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Closed","false","+90 543 299 73 96","+905432997396","ChIJz9C722whdUARC3WjVxM4B7I","21100",,"8","16","2024-12-13T09:43:21.407Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.87557400046268,40.23635420000001,16z?hl=en","diş hekimleri","Diyarbakır","Akkoyunlu 4. Sk. No:10/B",,"false","Diş Hekimi Recep Korhan","4.8","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Recep%20Korhan&query_place_id=ChIJz9C722whdUARC3WjVxM4B7I","https://cenecerrahi.com.tr/"
,,"true",,,,,,,,"true",,,,"Yenişehir Mahallesi Lise 3 Caddesi Yılmaz 2015 Apartmanı Zemin Kat No:1, 21120 Diyarbakır, Türkiye","Dentist",,,,"Dentist","15614209535673168397","Yenişehir","false","TR","0x4075210ccb1b8673:0xd8b0d0d85650f20d",,"https://lh5.googleusercontent.com/p/AF1QipMOiSufqXfKv58ON2pkijOODJZhVW42rGJT_0WA=w408-h408-k-no","13","false","/g/11q912gvtc","37.9176385","40.2281736","Yenişehir",,,,,,,,,,,,,,,"false","+90 850 333 8344","+908503338344","ChIJc4YbywwhdUARDfJQVtjQsNg","21120",,"4","4","2024-12-13T09:43:21.473Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.91622219999999,40.27068289347551,16z?hl=en","diş hekimleri","Diyarbakır","Yenişehir Mahallesi Lise 3 Caddesi Yılmaz 2015 Apartmanı Zemin Kat No:1",,"false","Dt. Rıdvan Esmer, Diş Hekimi","5","https://www.google.com/maps/search/?api=1&query=Dt.%20R%C4%B1dvan%20Esmer%2C%20Di%C5%9F%20Hekimi&query_place_id=ChIJc4YbywwhdUARDfJQVtjQsNg","https://www.doktortakvimi.com/ridvan-esmer-2/dis-hekimi/diyarbakir?utm_source=google&utm_medium=gmb&utm_campaign=250044&utm_content=website"
,"true",,,,"true",,,"false",,,,,,"Ofis Ekinciler Caddesi Sayar Plaza Kat:2 No:7, 21100 Yenişehir/Diyarbakır, Türkiye","Private hospital","Dental clinic",,,"Private hospital","9643298211689633559","Yenişehir","false","TR","0x40752025f402be01:0x85d3e0a192eb9717",,"https://lh5.googleusercontent.com/p/AF1QipOqsDNRwLTpMTJVvKMX0x-VxQE86j7W3MdHv8HO=w408-h544-k-no","17","false","/g/11ggrmgwp1","37.9176731","40.2214788","Kooperatifler","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 505 550 30 02","+905055503002","ChIJAb4C9CUgdUARF5frkqHg04U","21100",,"13","36","2024-12-13T09:43:21.407Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.87557400046268,40.23635420000001,16z?hl=en","diş hekimleri","Diyarbakır","Ofis Ekinciler Caddesi Sayar Plaza Kat:2 No:7",,"false","Diş Hekimi Rojbin KAHRAMAN","4.1","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Rojbin%20KAHRAMAN&query_place_id=ChIJAb4C9CUgdUARF5frkqHg04U","https://www.instagram.com/dr.rojbin_kahraman/"
,,"true",,,,,,,,"true",,,,"Yenişehir, ekinciler cd. cami(sanat) sk. onur ap kat2 no 5, 21100, Türkiye","Dentist",,,,"Dentist","2211152994245962056","Yenişehir","false","TR","0x4075203a138a35b7:0x1eaf97eede126948",,"https://lh5.googleusercontent.com/p/AF1QipMPf8J323DuqiCQ_495Tmf7DmBviZ45G62Bx40S=w408-h294-k-no","8","false","/g/113f3zfyp","37.920376","40.221183","Yenişehir","Monday","8:30 AM to 7:30 PM","Tuesday","8:30 AM to 7:30 PM","Wednesday","8:30 AM to 7:30 PM","Thursday","8:30 AM to 7:30 PM","Friday","8:30 AM to 7:30 PM","Saturday","8:30 AM to 7:30 PM","Sunday","Closed","false","+90 412 223 85 02","+904122238502","ChIJtzWKEzogdUARSGkS3u6Xrx4","21100",,"12","22","2024-12-13T09:43:21.473Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.91622219999999,40.27068289347551,16z?hl=en","diş hekimleri","Diyarbakır","ekinciler cd. cami(sanat) sk. onur ap kat2 no 5","Diş Hekimi Cafer Yamiş","false","Dr. Cafer Yamis","4.5","https://www.google.com/maps/search/?api=1&query=Dr.%20Cafer%20Yamis&query_place_id=ChIJtzWKEzogdUARSGkS3u6Xrx4","http://www.caferyamis.com/"
"true",,,,,,,,,,,,,,"Kooperatifler, Ofis, Yaşar Kemal Cd Arif Apt D:16/3, 21100 Yenişehir/Diyarbakır, Türkiye","Emergency dental service","Dental clinic","Dentist",,"Emergency dental service","17063254647571612698","Yenişehir","false","TR","0x4075203a138a35b7:0xecccdbb26c8a041a",,"https://lh5.googleusercontent.com/p/AF1QipMDXITmfZBqRH9DtLtuyzDY86KDojIw98AJnWIH=w408-h271-k-no","11","false","/g/11b6j4lv7f","37.919125","40.2196708","Kooperatifler",,,,,,,,,,,,,,,"false","+90 532 684 86 00","+905326848600","ChIJtzWKEzogdUARGgSKbLLbzOw","21100",,"16","27","2024-12-13T09:43:21.473Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.91622219999999,40.27068289347551,16z?hl=en","diş hekimleri","Diyarbakır","Ofis, Yaşar Kemal Cd Arif Apt D:16/3","Dr. Mehmet Aydın Ağız Ve Diş Sağlığı Polikliniği","false","Dr. Mehmet Aydin Agiz Ve Dis Sagligi Poliklinigi","3.9","https://www.google.com/maps/search/?api=1&query=Dr.%20Mehmet%20Aydin%20Agiz%20Ve%20Dis%20Sagligi%20Poliklinigi&query_place_id=ChIJtzWKEzogdUARGgSKbLLbzOw","https://www.drmehmetaydin.net/"
,,"true",,,,,,,,"true",,,,"Medya Mahallesi 629 Sokak bina no: 11 HMT 21 Plaza A blok kat:12 no:45, 21050 Diyarbakır, Türkiye","Dentist",,,,"Dentist","8013128093310781773","Kayapınar","false","TR","0x407519328f5f75cd:0x6f34598ba57e094d",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Mqm3Q6n-pgPFpf6nMqCmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=169.94234&pitch=0&thumbfov=100","13","false","/g/11pctlsg8f","37.9393016","40.1952419","Huzurevleri",,,,,,,,,,,,,,,"false",,,"ChIJzXVfjzIZdUARTQl-pYtZNG8","21050",,"14","1","2024-12-13T09:43:21.407Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.87557400046268,40.23635420000001,16z?hl=en","diş hekimleri","Diyarbakır","Medya Mahallesi 629 Sokak bina no: 11 HMT 21 Plaza A blok kat:12 no:45",,"false","Dt. İrem Hazal Özcan, Diş Hekimi","5","https://www.google.com/maps/search/?api=1&query=Dt.%20%C4%B0rem%20Hazal%20%C3%96zcan%2C%20Di%C5%9F%20Hekimi&query_place_id=ChIJzXVfjzIZdUARTQl-pYtZNG8","https://www.doktortakvimi.com/irem-hazal-ozcan/dis-hekimi/diyarbakir?utm_source=google&utm_medium=gmb&utm_campaign=256431&utm_content=website"
,,"true",,,,,,,,"true",,,,"Mezopotamya Mah, 326. Sk. No:20, 21070 Bağlar/Diyarbakır, Türkiye","Dentist",,,,"Dentist","1762499119323133596","Bağlar","false","TR","0x40751f33dd8c3b4f:0x1875a79c6431b69c",,,,"false","/g/11k9j_dw74","37.9335914","40.2034948","Mezopotamya Mah",,,,,,,,,,,,,,,"false",,,"ChIJTzuM3TMfdUARnLYxZJyndRg","21070",,"17","4","2024-12-13T09:43:21.474Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.91622219999999,40.27068289347551,16z?hl=en","diş hekimleri","Diyarbakır","326. Sk. No:20",,"false","Dt. Halil Doğan, Diş Hekimi","5","https://www.google.com/maps/search/?api=1&query=Dt.%20Halil%20Do%C4%9Fan%2C%20Di%C5%9F%20Hekimi&query_place_id=ChIJTzuM3TMfdUARnLYxZJyndRg","https://www.doktortakvimi.com/halil-dogan-6/dis-hekimi/diyarbakir?utm_source=google&utm_medium=gmb&utm_campaign=249634&utm_content=website"
,"true",,,,"true",,,,,"true",,,,"nergis pastanesi, mevlana halit mah. hatboyu caddesi, karşısı, 21080 Bağlar/Diyarbakır, Türkiye","Dentist",,,,"Dentist","6781933786772398186","Bağlar","false","TR","0x40751f16b8498731:0x5e1e44d8cac9e06a",,"https://lh5.googleusercontent.com/p/AF1QipNzsa2eHQaQD6y9-RxpSO43ZqoVBhNOMJzvdGNz=w408-h306-k-no","7","false","/g/11rtsh6tys","37.9262161","40.2091175","Mevlana Halit","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","10 AM to 6 PM","false","+90 507 166 21 20","+905071662120","ChIJMYdJuBYfdUARauDJythEHl4","21080",,"20","8","2024-12-13T09:43:21.408Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.87557400046268,40.23635420000001,16z?hl=en","diş hekimleri","Diyarbakır","nergis pastanesi, mevlana halit mah. hatboyu caddesi, karşısı",,"false","Dt. Yusuf Beklen Diş kliniği","5","https://www.google.com/maps/search/?api=1&query=Dt.%20Yusuf%20Beklen%20Di%C5%9F%20klini%C4%9Fi&query_place_id=ChIJMYdJuBYfdUARauDJythEHl4","https://instagram.com/dishekimiyusufbeklen"
"true",,,,,"true",,,,,"true",,,,"Ekinciler Cd. Kalender İş Merkezi, Kat:3/3, 21100 Yenişehir/Diyarbakır, Türkiye","Dentist","Community health centre","Dental clinic","Oral surgeon","Dentist","13351937967979286825","Yenişehir","false","TR","0x4075202f5f9eafe5:0xb94b9cd71c74d129",,,,"false","/g/1ptxc_3bc","37.9172097","40.2219737","Kooperatifler","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10 AM to 7 PM","Sunday","Closed","false","+90 532 332 01 81","+905323320181","ChIJ5a-eXy8gdUARKdF0HNecS7k","21100",,"18","13","2024-12-13T09:43:21.474Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.91622219999999,40.27068289347551,16z?hl=en","diş hekimleri","Diyarbakır","Ekinciler Cd. Kalender İş Merkezi, Kat:3/3","Özel Hikmet Bozyel Ağız ve Diş Sağlığı Polikliniği","false","Hikmet Bozyel Private Dental Clinic","3.7","https://www.google.com/maps/search/?api=1&query=Hikmet%20Bozyel%20Private%20Dental%20Clinic&query_place_id=ChIJ5a-eXy8gdUARKdF0HNecS7k","http://www.hikmetbozyel.com/"
