"additionalInfo/Accessibility/0/Assistive hearing loop","additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair-accessible car park","additionalInfo/Accessibility/0/Wheelchair-accessible entrance","additionalInfo/Accessibility/0/Wheelchair-accessible toilet","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible entrance","additionalInfo/Accessibility/1/Wheelchair-accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible toilet","additionalInfo/Accessibility/2/Wheelchair accessible parking lot","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible toilet","additionalInfo/Accessibility/3/Wheelchair accessible restroom","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair-accessible toilet","additionalInfo/Accessibility/4/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Gender-neutral toilets","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Amenities/1/Toilets","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Parking/0/Free parking lot","additionalInfo/Parking/0/On-site parking","additionalInfo/Parking/1/Free street parking","additionalInfo/Parking/1/On-site parking","additionalInfo/Parking/2/On-site parking","additionalInfo/Parking/3/Paid parking lot","additionalInfo/Parking/4/Paid street parking","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/On-site services","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
,"true",,,,,,,"true",,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,"Ahmet Yesevi, Sanayi Cd. No:563H Ceyhan Plaza, 16000 Ni̇lüfer/Bursa, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","4623780636803152187","Nilüfer","false","TR","0x14ca135a5114e2a7:0x402af7fdc7fb393b",,"https://lh5.googleusercontent.com/p/AF1QipPg1rwpvnfbhgW-HySOrNGG4OhTyB1wCixPGxFX=w408-h544-k-no","5","false","/g/11k9jr80nb","40.2712942","28.9443147","Ahmet Yesevi","Monday","9 AM to 10:30 PM","Tuesday","9 AM to 10:30 PM","Wednesday","9 AM to 10:30 PM","Thursday","9 AM to 10:30 PM","Friday","9 AM to 10:30 PM","Saturday","9 AM to 10:30 PM","Sunday","11 AM to 7 PM","false","+90 224 504 53 79","+902245045379","ChIJp-IUUVoTyhQROzn7x_33KkA","16000",,"12","156",,,,,,"2024-12-13T09:42:22.376Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.436115626071164,28.39070206164905,13z?hl=en","diş hekimleri","Bursa","Sanayi Cd. No:563H Ceyhan Plaza",,"false","Özel EviDent Ağız ve Diş Sağlığı Polikliniği","4.9","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20EviDent%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJp-IUUVoTyhQROzn7x_33KkA","https://www.evident.com.tr/"
,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"Demirtaş Sakarya, Hastane Cd. No:44 A, 16010 Osmangazi̇/Bursa, Türkiye","Dentist",,,,,,,,,,"Dentist","5309187921712364806","Osmangazi","false","TR","0x14ca3f33f4943169:0x49ae06491775bd06",,"https://lh5.googleusercontent.com/p/AF1QipM5a5-TUOjqUOzB4mrJXv1N_gmWVO3eNrtKK016=w408-h429-k-no","4","false","/g/11jcflk0y7","40.2758446","29.087123","Demirtaş Sakarya","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10 AM to 7 PM","Sunday","Closed","false","+90 850 474 1234","+908504741234","ChIJaTGU9DM_yhQRBr11F0kGrkk","16010",,"15","27",,,,,,"2024-12-13T09:42:22.376Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.436115626071164,28.39070206164905,13z?hl=en","diş hekimleri","Bursa","Hastane Cd. No:44 A",,"false","Bursa Diş Hekimi Şeyma Gök Bayram","4.6","https://www.google.com/maps/search/?api=1&query=Bursa%20Di%C5%9F%20Hekimi%20%C5%9Eeyma%20G%C3%B6k%20Bayram&query_place_id=ChIJaTGU9DM_yhQRBr11F0kGrkk","https://www.doktorsitesi.com/dt-seyma-gok/dis-hekimi/bursa"
,"true",,,,,,,"true",,,,,,,"true",,,,,,,,,,"true",,,,,"true",,,,,,,,,,,"Karacaahmet, Ihlamur Sokak No:1/A, 16700 Karacabey/Bursa, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","16217839873988379930","Karacabey","false","TR","0x14b5e1803da80bfb:0xe1115770893e451a",,"https://lh5.googleusercontent.com/p/AF1QipObUZQ4SjZgWvyxe5F7nLfTtHqEuqsLElZqSDX3=w408-h306-k-no","14","false","/g/11h4k0qbrp","40.2119585","28.3587546","Karacaahmet","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 530 162 46 24","+905301624624","ChIJ-wuoPYDhtRQRGkU-iXBXEeE","16700",,"18","14",,,,,,"2024-12-13T09:42:22.376Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.436115626071164,28.39070206164905,13z?hl=en","diş hekimleri","Bursa","Ihlamur Sokak No:1/A",,"false","Karacabey Ağız ve Diş Sağlığı Polikliniği","4.6","https://www.google.com/maps/search/?api=1&query=Karacabey%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJ-wuoPYDhtRQRGkU-iXBXEeE","https://www.karacabeydis.com/"
,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"Tavşanlı Mah. İsmail Hakkı Bilgin Cad. No.6 K.1 Sevgi Yolu Halk Eğitim Merkezi Yanı, 16700 Karacabey/Bursa, Türkiye","Dentist","Orthodontist",,,,,,,,,"Dentist","15540239176215307659","Karacabey","false","TR","0x14b5e1fe53f4fdef:0xd7aa0531eeec258b",,"https://lh5.googleusercontent.com/p/AF1QipMeCLP10ft7R56t661Z_lwvAeAlmrzO5vXBTAhy=w408-h724-k-no","44","false","/g/11fp7tpnkz","40.2154492","28.3593406","Tavşanlı","Monday","8:30 AM to 6 PM","Tuesday","8:30 AM to 6 PM","Wednesday","8:30 AM to 6 PM","Thursday","8:30 AM to 6 PM","Friday","8:30 AM to 6 PM","Saturday","8:30 AM to 6 PM","Sunday","Closed","false","+90 535 667 06 72","+905356670672","ChIJ7_30U_7htRQRiyXs7jEFqtc","16700",,"19","289",,,,,,"2024-12-13T09:42:22.377Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.436115626071164,28.39070206164905,13z?hl=en","diş hekimleri","Bursa","Tavşanlı Mah. İsmail Hakkı Bilgin Cad. No.6 K.1 Sevgi Yolu Halk Eğitim Merkezi Yanı",,"false","Diş Hekimi Kevser Yörür","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Kevser%20Y%C3%B6r%C3%BCr&query_place_id=ChIJ7_30U_7htRQRiyXs7jEFqtc","https://kevseryorur.com/"
,,,,"true",,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,"Beyler, Yapıkredi Aralığı, K. Emin Ersoy Sk. No:6/1, 16860 İzni̇k/Bursa, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","13622201695676174767","İznik","false","TR","0x8e461c8870343b5:0xbd0bc844c98091af",,"https://lh5.googleusercontent.com/p/AF1QipPtcPqT4tLysSxV83hdqhWsvRYCcw7R8DVpdcdr=w426-h240-k-no","11","false","/g/11ksk_sqpr","40.4300573","29.7203745","Beyler","Monday","10 AM to 6:30 PM","Tuesday","10 AM to 6:30 PM","Wednesday","10 AM to 6:30 PM","Thursday","10 AM to 6:30 PM","Friday","10 AM to 6:30 PM","Saturday","10 AM to 6:30 PM","Sunday","Closed","false","+90 554 102 63 50","+905541026350","ChIJtUMDh8hh5AgRr5GAyUTIC70","16860",,"7","41",,,,,,"2024-12-13T09:42:25.268Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.227835605214246,29.742171035762297,13z?hl=en","diş hekimleri","Bursa","Yapıkredi Aralığı, K. Emin Ersoy Sk. No:6/1",,"false","Diş Hekimi Barış Hekimoğlu","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Bar%C4%B1%C5%9F%20Hekimo%C4%9Flu&query_place_id=ChIJtUMDh8hh5AgRr5GAyUTIC70","https://www.instagram.com/hekimogludis/"
,,,,,"true",,,,,,,"true",,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,"Kemalpaşa, Adnan Menderes Blv. no:37/39, 16400 İnegöl/Bursa, Türkiye","Dentist",,,,,,,,,,"Dentist","11678973697544032238","İnegöl","false","TR","0x14cbc98f180bfa25:0xa2140cb3373e0fee",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oJjtLTLkPzc-RxWCkLkjcw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=190.52597&pitch=0&thumbfov=100","1","false","/g/11rghj2w9z","40.0732317","29.5020018","Kemalpaşa","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 6 PM","Sunday","Closed","false","+90 553 761 74 77","+905537617477","ChIJJfoLGI_JyxQR7g8-N7MMFKI","16400",,"11","72",,,,,,"2024-12-13T09:42:25.268Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.227835605214246,29.742171035762297,13z?hl=en","diş hekimleri","Bursa","Adnan Menderes Blv. no:37/39",,"false","Estetik Diş Doktoru - Doğan Serdar BOZ","5","https://www.google.com/maps/search/?api=1&query=Estetik%20Di%C5%9F%20Doktoru%20-%20Do%C4%9Fan%20Serdar%20BOZ&query_place_id=ChIJJfoLGI_JyxQR7g8-N7MMFKI","https://inegolortodonti.com/"
,,,,"true",,,,,,,,"true",,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,"Osmaniye mh. Altay cd, AVM No:2B/4, 16400 İnegöl/Bursa, Türkiye","Dentist",,,,,,,,,,"Dentist","8327930812366730434","İnegöl","false","TR","0x14cbcbe31139d641:0x7392c0f3592634c2",,"https://lh5.googleusercontent.com/p/AF1QipPsvGtYdSct5IC8kUQzUyMPVU34r9dV-fEbMht_=w408-h544-k-no","8","false","/g/11v6wpmn12","40.0868116","29.509703","Osmaniye","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10 AM to 7 PM","Sunday","Closed","false","+90 555 635 73 03","+905556357303","ChIJQdY5EePLyxQRwjQmWfPAknM","16400",,"16","37",,,,,,"2024-12-13T09:42:25.269Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.227835605214246,29.742171035762297,13z?hl=en","diş hekimleri","Bursa","Osmaniye mh. Altay cd, AVM No:2B/4",,"false","Özel Dentinegöl Ağız ve Diş Sağlığı Polikliniği","4.9","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Dentineg%C3%B6l%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJQdY5EePLyxQRwjQmWfPAknM","http://dentinegol.com/"
,,,,"true",,,,,,,,"true",,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,"Ertuğrulgazi mah. Kozluca blv. Giriş A1-A2 no:17 AE, 16400 İnegöl/Bursa, Türkiye","Dentist","Dental clinic",,,,,,,,,"Dentist","5976806761864376526","İnegöl","false","TR","0x14cbc93cdcae267d:0x52f1e2155c1430ce",,"https://lh5.googleusercontent.com/p/AF1QipNHFvvkdyRJWlqSlHfRyGHtdoypK8AAB3C99XbQ=w408-h544-k-no","22","false","/g/11kj521m_l","40.0917998","29.5185138","Ertuğrulgazi","Monday","10 AM to 9 PM","Tuesday","10 AM to 9 PM","Wednesday","10 AM to 9 PM","Thursday","10 AM to 9 PM","Friday","10 AM to 9 PM","Saturday","10 AM to 7 PM","Sunday","Closed","false","+90 530 546 21 88","+905305462188","ChIJfSau3DzJyxQRzjAUXBXi8VI","16400",,"19","10",,,,,,"2024-12-13T09:42:25.269Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.227835605214246,29.742171035762297,13z?hl=en","diş hekimleri","Bursa","Ertuğrulgazi mah. Kozluca blv. Giriş A1-A2 no:17 AE",,"false","İnegöl Özel Meyra Ağız ve Diş Sağlığı Polikliniği (Diş Hekimi Sevde Durmuş, Diş Hekimi Asım Dursun)","4.6","https://www.google.com/maps/search/?api=1&query=%C4%B0neg%C3%B6l%20%C3%96zel%20Meyra%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi%20(Di%C5%9F%20Hekimi%20Sevde%20Durmu%C5%9F%2C%20Di%C5%9F%20Hekimi%20As%C4%B1m%20Dursun)&query_place_id=ChIJfSau3DzJyxQRzjAUXBXi8VI","https://www.doktorsitesi.com/dt-sevde-durmus/dis-hekimi/bursa"
,"true",,,,,,,"true",,,,,,,"true",,,,,"true",,,"true",,,,"true",,,"true",,,,,,,,"true",,,"Kurtuluş, Ceren Yel Ağar Diş Kliniği, 1. Sk. No:1B/A, 16285 Ni̇lüfer/Bursa, Türkiye","Dentist",,,,,,,,,,"Dentist","89952942698422248","Nilüfer","false","TR","0x14ca13db2269a5c5:0x13f93b98c0a5fe8",,"https://lh5.googleusercontent.com/p/AF1QipMxS2IP4O4gjGR_8nSQyTVIN9cClMHE_BHoOY1u=w408-h544-k-no","20","false","/g/11pzy8lwgg","40.2178074","28.8253304","Kurtuluş","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10 AM to 4 PM","Sunday","Closed","false","+90 546 466 24 88","+905464662488","ChIJxaVpItsTyhQR6F8KjLmTPwE","16285",,"1","80",,,,,,"2024-12-13T09:42:26.691Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.331975615642705,28.525848959060376,13z?hl=en","diş hekimleri","Bursa","Ceren Yel Ağar Diş Kliniği, 1. Sk. No:1B/A",,"false","Görükle Göçmen Konutları Diş Hekimi Ceren Yel Ağar Diş Kliniği","5","https://www.google.com/maps/search/?api=1&query=G%C3%B6r%C3%BCkle%20G%C3%B6%C3%A7men%20Konutlar%C4%B1%20Di%C5%9F%20Hekimi%20Ceren%20Yel%20A%C4%9Far%20Di%C5%9F%20Klini%C4%9Fi&query_place_id=ChIJxaVpItsTyhQR6F8KjLmTPwE","http://instagram.com/dishekimiceren"
,"true",,,,,,,"true",,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,"23 Nisan Mahallesi Mithatpaşa Caddesi, Ofis Gökçadır 22-B, 16130 Ni̇lüfer, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","3636783033396917405","Nilüfer","false","TR","0x14ca13fd5f414b6d:0x327872e67eca749d",,"https://lh5.googleusercontent.com/p/AF1QipPZ56g6qN8Dh4HpK9pAjOmHGbJLoEaBTfQ0oyzQ=w486-h240-k-no","8","false","/g/11ggz4xd3_","40.2207247","28.9430832","23 Nisan","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 224 413 20 02","+902244132002","ChIJbUtBX_0TyhQRnXTKfuZyeDI","16130",,"7","87",,,,,,"2024-12-13T09:42:26.691Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.331975615642705,28.525848959060376,13z?hl=en","diş hekimleri","Bursa","23 Nisan Mahallesi Mithatpaşa Caddesi, Ofis Gökçadır 22-B",,"false","Özel Dentaliv Ağız Ve Diş Sağlığı Polikliniği | Çene Cerrahisi | Dr. Dt. Onur ÖZNALÇIN","4.9","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Dentaliv%20A%C4%9F%C4%B1z%20Ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi%20%7C%20%C3%87ene%20Cerrahisi%20%7C%20Dr.%20Dt.%20Onur%20%C3%96ZNAL%C3%87IN&query_place_id=ChIJbUtBX_0TyhQRnXTKfuZyeDI","http://www.dentaliv.com.tr/"
