"additionalInfo/Accessibility/0/Assistive hearing loop","additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible car park","additionalInfo/Accessibility/0/Wheelchair-accessible entrance","additionalInfo/Accessibility/0/Wheelchair-accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible toilet","additionalInfo/Accessibility/1/Assistive hearing loop","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible car park","additionalInfo/Accessibility/1/Wheelchair-accessible entrance","additionalInfo/Accessibility/1/Wheelchair-accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible toilet","additionalInfo/Accessibility/2/Assistive hearing loop","additionalInfo/Accessibility/2/Wheelchair accessible entrance","additionalInfo/Accessibility/2/Wheelchair accessible parking lot","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible entrance","additionalInfo/Accessibility/2/Wheelchair-accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible toilet","additionalInfo/Accessibility/3/Wheelchair accessible parking lot","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair-accessible seating","additionalInfo/Accessibility/3/Wheelchair-accessible toilet","additionalInfo/Accessibility/4/Assistive hearing loop","additionalInfo/Accessibility/4/Wheelchair-accessible toilet","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Gender-neutral toilets","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Amenities/1/Toilets","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Parking/0/Free multi-storey car park","additionalInfo/Parking/0/Free of charge street parking","additionalInfo/Parking/0/Free parking garage","additionalInfo/Parking/0/Free parking lot","additionalInfo/Parking/0/Free street parking","additionalInfo/Parking/0/On-site parking","additionalInfo/Parking/1/Free of charge street parking","additionalInfo/Parking/1/Free parking lot","additionalInfo/Parking/1/Free street parking","additionalInfo/Parking/1/On-site parking","additionalInfo/Parking/2/Free parking lot","additionalInfo/Parking/2/Free street parking","additionalInfo/Parking/2/On-site parking","additionalInfo/Parking/3/On-site parking","additionalInfo/Parking/4/Paid multi-storey car park","additionalInfo/Parking/4/Paid parking garage","additionalInfo/Parking/4/Paid street parking","additionalInfo/Parking/5/Paid parking lot","additionalInfo/Parking/6/Paid street parking","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/On-site services","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,"true",,,"Kızılay, Kumrular Cd. No:16 D:B, 06520 Çankaya/Ankara, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","7584580420313095651","Çankaya","false","TR","0x14d34fa398d9fe6f:0x6941d7b51b251de3",,"https://lh5.googleusercontent.com/p/AF1QipOTK4iR52i_n6Z5fKdfRcKGQomVi7HDbQj5fL_X=w408-h272-k-no","36","false","/g/11vb7f47jz","39.9203789","32.8500729","Kızılay","Monday","9 AM to 9 PM","Tuesday","9 AM to 9 PM","Wednesday","9 AM to 9 PM","Thursday","9 AM to 9 PM","Friday","9 AM to 9 PM","Saturday","9 AM to 9 PM","Sunday","9 AM to 7 PM","false","+90 501 048 98 98","+905010489898","ChIJb_7ZmKNP0xQR4x0lG7XXQWk","06520",,"3","173",,,,,,"2024-12-13T09:41:34.204Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.82480804129449,32.226420933724725,13z?hl=en","diş hekimleri","Ankara","Kumrular Cd. No:16 D:B",,"false","Dizayn Dental | Kızılay Diş Doktoru | Ankara Acil Diş Doktoru","5","https://www.google.com/maps/search/?api=1&query=Dizayn%20Dental%20%7C%20K%C4%B1z%C4%B1lay%20Di%C5%9F%20Doktoru%20%7C%20Ankara%20Acil%20Di%C5%9F%20Doktoru&query_place_id=ChIJb_7ZmKNP0xQR4x0lG7XXQWk","https://www.dizayndental.com/"
,"true",,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,"true",,,"PODİUM AVM KARŞISI, Mehmet Akif Ersoy Mahallesi 274 SOKAK WİNGS ANKARA PLAZA ABLOK 11.KAT 83, 06200 Yenimahalle/Ankara, Türkiye","Dentist","Dental implants provider",,,,,,,,,"Dentist","15180916305342999809","Yenimahalle","false","TR","0x14d3490dc7bad5eb:0xd2ad72f2a0e7ad01",,"https://lh5.googleusercontent.com/p/AF1QipOgRRlaZ_0rh1h4SsZ-f-fhXxjwkQaZ2RO3oJZA=w426-h240-k-no","25","false","/g/11ggncytg9","39.9624106","32.7727231","Mehmet Akif Ersoy","Monday","10:30 AM to 6:30 PM","Tuesday","10:30 AM to 6:30 PM","Wednesday","10:30 AM to 6:30 PM","Thursday","10:30 AM to 6:30 PM","Friday","10:30 AM to 6:30 PM","Saturday","10 AM to 4 PM","Sunday","Closed","false","+90 542 320 29 20","+905423202920","ChIJ69W6xw1J0xQRAa3noPJyrdI","06200",,"4","333",,,,,,"2024-12-13T09:41:34.204Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.82480804129449,32.226420933724725,13z?hl=en","diş hekimleri","Ankara","PODİUM AVM KARŞISI, Mehmet Akif Ersoy Mahallesi 274 SOKAK WİNGS ANKARA PLAZA ABLOK 11.KAT 83",,"false","Uzm. Dr. Zehra Fırtına Ekincioğlu - Ağız, Diş, İmplant ve Çene Cerrahisi Kliniği","4.8","https://www.google.com/maps/search/?api=1&query=Uzm.%20Dr.%20Zehra%20F%C4%B1rt%C4%B1na%20Ekincio%C4%9Flu%20-%20A%C4%9F%C4%B1z%2C%20Di%C5%9F%2C%20%C4%B0mplant%20ve%20%C3%87ene%20Cerrahisi%20Klini%C4%9Fi&query_place_id=ChIJ69W6xw1J0xQRAa3noPJyrdI","http://www.zehraekincioglu.com.tr/"
,"true",,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,"true",,"true","Kızılay, Kültür Mahallesi, Dr. Mediha Eldem Sk. No: 44 D:12, 06420 Çankaya/Ankara, Türkiye","Dentist","Dental clinic","Dental hygienist","Dental implants provider","Dental laboratory",,,,,,"Dentist","6446213921625358797","Çankaya","false","TR","0x14d34f962b115a73:0x59758d6880a841cd",,"https://lh5.googleusercontent.com/p/AF1QipMgwMJUNlk8qc_OtW0cQv11g6Cxtt1uBvjRiUYw=w408-h544-k-no","273","false","/g/11grvkdzn9","39.9206519","32.859462","Kızılay","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 501 912 29 42","+905019122942","ChIJc1oRK5ZP0xQRzUGogGiNdVk","06420",,"5","244",,,,,,"2024-12-13T09:41:34.204Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.82480804129449,32.226420933724725,13z?hl=en","diş hekimleri","Ankara","Kültür Mahallesi, Dr. Mediha Eldem Sk. No: 44 D:12",,"false","Ankara Diş Hekimi - İmplant - Zirkonyum - Kızılay Diş Hekimi - Diş Hekimi Tavsiye - En İyi Diş Hekimi - Dt. Yasin Görgünoğlu","5","https://www.google.com/maps/search/?api=1&query=Ankara%20Di%C5%9F%20Hekimi%20-%20%C4%B0mplant%20-%20Zirkonyum%20-%20K%C4%B1z%C4%B1lay%20Di%C5%9F%20Hekimi%20-%20Di%C5%9F%20Hekimi%20Tavsiye%20-%20En%20%C4%B0yi%20Di%C5%9F%20Hekimi%20-%20Dt.%20Yasin%20G%C3%B6rg%C3%BCno%C4%9Flu&query_place_id=ChIJc1oRK5ZP0xQRzUGogGiNdVk","https://yasingorgunoglu.com/"
,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Kurtuluş, Atatürk Cd. 69-71/A, 06900 Polatlı/Ankara, Türkiye","Dentist",,,,,,,,,,"Dentist","18102587595745720705","Polatlı","false","TR","0x14d3393d1010a537:0xfb394f81b7d0f981",,"https://lh5.googleusercontent.com/p/AF1QipNtoKkaCvXrW7X2Vcyyh0e26stDzcNiBGqIG14W=w408-h433-k-no","5","false","/g/11k4358tq3","39.5831188","32.1388557","Kurtuluş",,,,,,,,,,,,,,,"false","+90 850 811 8264","+908508118264","ChIJN6UQED050xQRgfnQt4FPOfs","06900",,"7","18",,,,,,"2024-12-13T09:41:34.204Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.82480804129449,32.226420933724725,13z?hl=en","diş hekimleri","Ankara","Atatürk Cd. 69-71/A",,"false","Diş Hekimi Ecem Tezel Kartun","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Ecem%20Tezel%20Kartun&query_place_id=ChIJN6UQED050xQRgfnQt4FPOfs","https://www.doktorsitesi.com/dt-i-ecem-tezel/dis-hekimi/ankara"
,"true",,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,"true",,,,"true","true",,,,,,,,,,,,,,,,,,,,,,"true","Kızılırmak, Mercan Apt, 1441. Cd. No:5/13, 06530 Çankaya/Ankara, Türkiye","Dentist","Cosmetic dentist","Dental clinic","Dental hygienist","Dental implants periodontist","Denture care center","Emergency dental service","Health and beauty shop","Oral surgeon","Pediatric dentist","Dentist","9133763504802430552","Çankaya","false","TR","0x14d34f4d7d91beaf:0x7ec1a583ce2cfe58",,"https://lh5.googleusercontent.com/p/AF1QipPgsDtwgLWIA8PBOjnx2Nv0nZedCOFRM8mzEVFW=w408-h272-k-no","213","false","/g/11hd6wx8r8","39.9079867","32.8107397","Kızılırmak","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 312 287 56 70","+903122875670","ChIJr76RfU1P0xQRWP4szoOlwX4","06530",,"8","496",,,,,,"2024-12-13T09:41:34.204Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.82480804129449,32.226420933724725,13z?hl=en","diş hekimleri","Ankara","Mercan Apt, 1441. Cd. No:5/13",,"false","Ağız Diş ve Çene Cerrahisi Uzmanı Dr.Dt.Seda Deniz Kalkan implant zirkonyum diş","5","https://www.google.com/maps/search/?api=1&query=A%C4%9F%C4%B1z%20Di%C5%9F%20ve%20%C3%87ene%20Cerrahisi%20Uzman%C4%B1%20Dr.Dt.Seda%20Deniz%20Kalkan%20implant%20zirkonyum%20di%C5%9F&query_place_id=ChIJr76RfU1P0xQRWP4szoOlwX4","http://www.sedadenizkalkan.com/"
,"true",,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,"true",,,"Eryaman, Şehit Osman Avcı Mah. Malazgirt 1071 Cad. No:50/A İç Kapı No:20, 06820 Ankara, Türkiye","Dentist",,,,,,,,,,"Dentist","16344610099980340799","Etimesgut","false","TR","0x14d3379c46a1116d:0xe2d3b849d9970e3f",,"https://lh5.googleusercontent.com/p/AF1QipPG1_ppHz5Xw9D3b7HBpSd0ZpQYagKhY0NKWLE-=w408-h541-k-no","4","false","/g/11s58m65xh","39.9875998","32.6550987","Eryaman",,,,,,,,,,,,,,,"false","+90 850 474 8148","+908504748148","ChIJbRGhRpw30xQRPw6X2Um40-I","06820",,"9","1",,,,,,"2024-12-13T09:41:34.205Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.82480804129449,32.226420933724725,13z?hl=en","diş hekimleri","Ankara","Şehit Osman Avcı Mah. Malazgirt 1071 Cad. No:50/A İç Kapı No:20",,"false","Diş Hekimi Şeyma Karaali","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20%C5%9Eeyma%20Karaali&query_place_id=ChIJbRGhRpw30xQRPw6X2Um40-I","https://www.doktorsitesi.com/seyma-karaali/dis-hekimi/ankara#"
,,,"true",,,,,,,"false",,,,,,,,,,"false",,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cumhuriyet, Turan Cd. Işık Apt. No:4 D:2, 06900 Polatlı/Ankara, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","17380568463188885861","Polatlı","false","TR","0x14d25a215b4ebc55:0xf1342eee5abb0165",,"https://lh5.googleusercontent.com/p/AF1QipOf7XWcTufIZTY82aFJuq19PxyHG8OgyqQxab5o=w408-h544-k-no","7","false","/g/1q67kqcxx","39.5847077","32.1418602","Cumhuriyet","Monday","9 AM to 9 PM","Tuesday","9 AM to 9 PM","Wednesday","9 AM to 9 PM","Thursday","9 AM to 9 PM","Friday","9 AM to 9 PM","Saturday","9 AM to 9 PM","Sunday","Closed","false","+90 312 621 00 11","+903126210011","ChIJVbxOWyFa0hQRZQG7Wu4uNPE","06900",,"18","98",,,,,,"2024-12-13T09:41:34.205Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.82480804129449,32.226420933724725,13z?hl=en","diş hekimleri","Ankara","Turan Cd. Işık Apt. No:4 D:2","Koçoğlu Ağız Ve Diş Sağlığı Polikliniği","false","Kocoglu Agiz ve Dis Sagligi Poliklinigi","4.1","https://www.google.com/maps/search/?api=1&query=Kocoglu%20Agiz%20ve%20Dis%20Sagligi%20Poliklinigi&query_place_id=ChIJVbxOWyFa0hQRZQG7Wu4uNPE","http://kocogludisklinigi.com/"
,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ragıp Tüzün, Mahallesi, Ragıp Tüzün Cd. No:125/5, 06170 Yenimahalle/Ankara, Türkiye","Dentist","Dental clinic",,,,,,,,,"Dentist","17483063067531790130","Yenimahalle","false","TR","0x14d34eace55e699d:0xf2a0513b0dfbc732",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VBJM2Qvkdcw6JGjfhX4OoQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=175.88417&pitch=0&thumbfov=100","2","false","/g/11f01v77v9","39.9659614","32.8105392","Ragıp Tüzün","Monday","10 AM to 7:30 PM","Tuesday","9 AM to 7:30 PM","Wednesday","9 AM to 7:30 PM","Thursday","9 AM to 7:30 PM","Friday","9 AM to 7:30 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 850 333 8344","+908503338344","ChIJnWle5axO0xQRMsf7DTtRoPI","06170",,"18","7",,,,,,"2024-12-13T09:41:35.966Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@40.137190965177936,30.892578270971867,13z?hl=en","diş hekimleri","Ankara","Mahallesi, Ragıp Tüzün Cd. No:125/5",,"false","Dt. Ali Emrah Uysal","4.4","https://www.google.com/maps/search/?api=1&query=Dt.%20Ali%20Emrah%20Uysal&query_place_id=ChIJnWle5axO0xQRMsf7DTtRoPI","https://www.doktortakvimi.com/ali-emrah-uysal/dis-hekimi/ankara?utm_source=google&utm_medium=gmb&utm_campaign=163970"
,,,,,"true",,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,"Seğmenler, Cumhuriyet Cd. 146/AB, 06360 Gölbaşı/Ankara, Türkiye","Dentist",,,,,,,,,,"Dentist","6520473685422756821","Gölbaşı","false","TR","0x14d341aa75c10c9d:0x5a7d60451ae7d3d5",,"https://lh5.googleusercontent.com/p/AF1QipOLVCr7IMotfmH6Fmx6p4qOlpJhqnlC3usxSW0F=w408-h406-k-no","94","false","/g/11nnr5bwhk","39.7886063","32.8317272","Seğmenler",,,,,,,,,,,,,,,"false","+90 850 333 8344","+908503338344","ChIJnQzBdapB0xQR1dPnGkVgfVo","06360",,"1","33",,,,,,"2024-12-13T09:41:36.979Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.616552758705524,32.75995799882587,13z?hl=en","diş hekimleri","Ankara","Cumhuriyet Cd. 146/AB",,"false","Dt. Ceyhun Baloğlu, Diş Hekimi","4.9","https://www.google.com/maps/search/?api=1&query=Dt.%20Ceyhun%20Balo%C4%9Flu%2C%20Di%C5%9F%20Hekimi&query_place_id=ChIJnQzBdapB0xQR1dPnGkVgfVo","https://www.doktortakvimi.com/ceyhun-baloglu/dis-hekimi/ankara?utm_source=google&utm_medium=gmb&utm_campaign=236720&utm_content=website"
,,,,,"true",,,,,,,,,,"true",,,,,,,,,"true",,,,,"true",,,,,,"true",,,,"true",,,,,,"true",,,,,,,,,,,,,,"true","true",,"Mustafa Kemal, Şht. Öğretmen Şenay Aybüke Yalçın Cd. No:7 D:2, 06510 Çankaya/Ankara, Türkiye","Dentist","Dental clinic","Dental hygienist","Dental implants periodontist","Dental implants provider","Emergency dental service","Oral surgeon","Teeth whitening service",,,"Dentist","17122683072546164835","Çankaya","false","TR","0x14d347a483bc5a69:0xed9ffd88dcb55063",,"https://lh5.googleusercontent.com/p/AF1QipOAE_M0ABEH74ksf7lc68PrY_muTvh6gqEISPyT=w408-h408-k-no","30","false","/g/11mpvp3swn","39.9105727","32.7661802","Mustafa Kemal","Monday","9 AM to 6:30 PM","Tuesday","9 AM to 6:30 PM","Wednesday","9 AM to 6:30 PM","Thursday","9 AM to 6:30 PM","Friday","9 AM to 6:30 PM","Saturday","9 AM to 6 PM","Sunday","Closed","false","+90 312 219 49 70","+903122194970","ChIJaVq8g6RH0xQRY1C13Ij9n-0","06510",,"2","251",,,,,,"2024-12-13T09:41:36.979Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.616552758705524,32.75995799882587,13z?hl=en","diş hekimleri","Ankara","Şht. Öğretmen Şenay Aybüke Yalçın Cd. No:7 D:2",,"false","Diş Hekimi ve Çene Cerrahı Dr. Dt. Serap Şimşek - Ankara Çankaya İmplant ve Gömülü Diş Çekim","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20ve%20%C3%87ene%20Cerrah%C4%B1%20Dr.%20Dt.%20Serap%20%C5%9Eim%C5%9Fek%20-%20Ankara%20%C3%87ankaya%20%C4%B0mplant%20ve%20G%C3%B6m%C3%BCl%C3%BC%20Di%C5%9F%20%C3%87ekim&query_place_id=ChIJaVq8g6RH0xQRY1C13Ij9n-0","https://drserapsimsek.com/"
