"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible toilet","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Parking/0/On-site parking","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageCategories/0","imageCategories/1","imageCategories/2","imageCategories/3","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
"true",,,,,"true",,"true","true",,"true",,,"true","true",,"true","true","Yeşildirek, Vakıfbank üstü, Emniyet Cd. Koç 3 apt B blok no 4, 63100 Haliliye/Şanlıurfa, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","2138533397882096173","Haliliye","false","TR","0x153471e804f72233:0x1dad98cb81124a2d",,"All","Latest","By owner","Street View & 360°","https://lh5.googleusercontent.com/p/AF1QipNtZ6a9jLI6UcF6NanB4vqkgpt_lpZHI99d0fRJ=k-no-",,"true","/g/11tny5f7vb","37.1722581","38.8125401","Yeşildirek","Monday","9 AM to 9 PM","Tuesday","9 AM to 9 PM","Wednesday","9 AM to 9 PM","Thursday","9 AM to 9 PM","Friday","9 AM to 9 PM","Saturday","9 AM to 9 PM","Sunday","9 AM to 9 PM","false","+90 544 118 15 15","+905441181515","ChIJMyL3BOhxNBURLUoSgcuYrR0","63100",,"1","100",,,,,,"2024-12-13T09:43:40.664Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.13224828347045,38.826258825044945,16z?hl=en","diş hekimleri","Şanlıurfa","Vakıfbank üstü, Emniyet Cd. Koç 3 apt B blok no 4",,"false","Diş Hekimi Naime TÜRKMEN","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Naime%20T%C3%9CRKMEN&query_place_id=ChIJMyL3BOhxNBURLUoSgcuYrR0","https://www.dtnaimeturkmen.com/"
,"true",,,,,,,,,"true",,,,,,"true",,"Yenişehir, Figen Apt, Emniyet Cd. 48/A, 63300 Şanlıurfa Merkez, 63100 Haliliye/Şanlıurfa, Türkiye","Dental clinic","Cosmetic dentist",,,,,,,,,"Dental clinic","14892880584951711655","Haliliye","false","TR","0x153471bf0ebdd34d:0xceae23fc745bc7a7",,,,,,"https://lh5.googleusercontent.com/p/AF1QipOdZyAwCdSW2PXATbDhjPABkwlVVtsNdH70Sbmh=w426-h240-k-no","18","false","/g/11s5pdb0v2","37.1715162","38.8051689","Yenişehir","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+90 530 860 63 44","+905308606344","ChIJTdO9Dr9xNBURp8dbdPwjrs4","63100",,"3","49",,,,,,"2024-12-13T09:43:40.665Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.13224828347045,38.826258825044945,16z?hl=en","diş hekimleri","Şanlıurfa","Yenişehir, Figen Apt, Emniyet Cd. 48/A, 63300 Şanlıurfa Merkez",,"false","Diş Hekimi Mehmet Serkan Baykuş","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Mehmet%20Serkan%20Bayku%C5%9F&query_place_id=ChIJTdO9Dr9xNBURp8dbdPwjrs4","https://www.instagram.com/dtmserkanbaykus/"
,,"true",,,,,,,,"true",,,,,,"true",,"Karsıyaka, Sırrın, 590. Sk. 8B/B, 63000 Haliliye/Şanlıurfa, Türkiye","Dentist",,,,,,,,,,"Dentist","15012161920812268179","Haliliye","false","TR","0x15346f4c05124257:0xd055e9baa8a93a93",,,,,,"https://lh5.googleusercontent.com/p/AF1QipORj2GAjYxZt-4FuswEEhBbUMPdYy-SHGtSaGfD=w408-h306-k-no","18","false","/g/11smw3h94s","37.1656921","38.832479","Karsıyaka","Monday","9 AM to 11 PM","Tuesday","9 AM to 11 PM","Wednesday","9 AM to 11 PM","Thursday","9 AM to 11 PM","Friday","9 AM to 11 PM","Saturday","9 AM to 11 PM","Sunday","9 AM to 11 PM","false","+90 545 820 62 61","+905458206261","ChIJV0ISBUxvNBURkzqpqLrpVdA","63000",,"8","22",,,,,,"2024-12-13T09:43:40.665Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.13224828347045,38.826258825044945,16z?hl=en","diş hekimleri","Şanlıurfa","Sırrın, 590. Sk. 8B/B",,"false","Diş hekimi Ömer Faruk demir","4.8","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20hekimi%20%C3%96mer%20Faruk%20demir&query_place_id=ChIJV0ISBUxvNBURkzqpqLrpVdA","https://instagram.com/omerfaruk_demir?utm_medium=copy_link"
,,"true",,,,,,,,"true",,,,,,,,"Bahçelievler, EKA Giyim üstü, Şair Şevket, 120. Sk. No:7, Şanlıurfa Merkez, 63100 Haliliye/Şanlıurfa, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","2738743768808457773","Haliliye","false","TR","0x15347126921bc6c5:0x2601f8f27ea4862d",,,,,,"https://lh5.googleusercontent.com/p/AF1QipMTQhamc8EBQRg2I0M-da_Yg0sP3h7ajCCM0lid=w408-h306-k-no","19","false","/g/11nm_y1h7w","37.163226","38.792207","Bahçelievler","Monday","8:30 AM to 6 PM","Tuesday","8:30 AM to 6:30 PM","Wednesday","8:30 AM to 6:30 PM","Thursday","8:30 AM to 6:30 PM","Friday","8:30 AM to 6:30 PM","Saturday","8:30 AM to 6:30 PM","Sunday","Closed","false","+90 544 443 03 47","+905444430347","ChIJxcYbkiZxNBURLYakfvL4ASY","63100",,"12","20",,,,,,"2024-12-13T09:43:40.666Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.13224828347045,38.826258825044945,16z?hl=en","diş hekimleri","Şanlıurfa","EKA Giyim üstü, Şair Şevket, 120. Sk. No:7, Şanlıurfa Merkez",,"false","Şanlıurfa Özel Diş Kliniği","4.8","https://www.google.com/maps/search/?api=1&query=%C5%9Eanl%C4%B1urfa%20%C3%96zel%20Di%C5%9F%20Klini%C4%9Fi&query_place_id=ChIJxcYbkiZxNBURLYakfvL4ASY","https://instagram.com/sanliurfaozeldisklinigi"
,,,,,,,,,,,,,,,,,,"Bamyasuyu, aksoy apartmanı, 147. Sk. no:14 D:3. kat no:5, 63040 Haliliye/Şanlıurfa, Türkiye","Dentist",,,,,,,,,,"Dentist","3283755619076013421","Haliliye","false","TR","0x153471a2c95a9daf:0x2d923e566437fd6d",,,,,,"https://lh5.googleusercontent.com/p/AF1QipPhu5MIt92zi9F90RTnVjP1nvHamqvZix5CEx4R=w426-h240-k-no","8","false","/g/11wjq61n9p","37.1618816","38.7950357","Bamyasuyu","Monday","9 AM to 8 PM","Tuesday","9 AM to 8 PM","Wednesday","9 AM to 8 PM","Thursday","9 AM to 8 PM","Friday","9 AM to 8 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 545 969 13 63","+905459691363","ChIJr51ayaJxNBURbf03ZFY-ki0","63040",,"15","1",,,,,,"2024-12-13T09:43:40.666Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.13224828347045,38.826258825044945,16z?hl=en","diş hekimleri","Şanlıurfa","aksoy apartmanı, 147. Sk. no:14 D:3. kat no:5",,"false","Dt.Yusuf Kenan Tunçay","5","https://www.google.com/maps/search/?api=1&query=Dt.Yusuf%20Kenan%20Tun%C3%A7ay&query_place_id=ChIJr51ayaJxNBURbf03ZFY-ki0","https://www.instagram.com/dt.yusufkenan/"
"true",,,,,"true",,"true",,,"true",,,,,,,,"Hamidiye, Hamidiye mahallesi 269 . sk. Abdulkadir Karahan caddesi bina no:16, Prf. A. Kadir Karahan Cd. 16 A, 63300 Haliliye/Şanlıurfa Merkez/Şanlıurfa, Türkiye","Dental clinic","Community health centre","Dental hygienist","Dental implants periodontist","Dental radiology","Dentist","Hospital","Oral surgeon","Pediatric dentist","Private hospital","Dental clinic","10735262456198190159","Haliliye/Şanlıurfa Merkez","false","TR","0x15347039b94d38c1:0x94fb50537847d44f",,,,,,"https://lh5.googleusercontent.com/p/AF1QipNlmoXjlJ51W0qGv8lehYyzWBwSeXBP4bbguLUz=w408-h272-k-no","64","false","/g/11crzt2g4g","37.1765697","38.8033458","Hamidiye","Monday","9 AM to 11 PM","Tuesday","9 AM to 11 PM","Wednesday","9 AM to 11 PM","Thursday","9 AM to 11 PM","Friday","9 AM to 11 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 414 312 21 15","+904143122115","ChIJwThNuTlwNBURT9RHeFNQ-5Q","63300",,"16","202",,,,,,"2024-12-13T09:43:40.666Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.13224828347045,38.826258825044945,16z?hl=en","diş hekimleri","Şanlıurfa","Hamidiye mahallesi 269 . sk. Abdulkadir Karahan caddesi bina no:16, Prf. A. Kadir Karahan Cd. 16 A","Özel Gap Dental Ağız ve Diş Sağlığı Polikliniği","false","Gap Dental Özel Diş Sağlığı Merkezi","4.3","https://www.google.com/maps/search/?api=1&query=Gap%20Dental%20%C3%96zel%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Merkezi&query_place_id=ChIJwThNuTlwNBURT9RHeFNQ-5Q","http://www.gapdental.com.tr/"
"true",,,,,"true",,"true","true",,"true",,,"true",,,"true","true","Yenişehir, Yenişehir Cd. No:22, 63300 Haliliye/Şanlıurfa, Türkiye","Oral surgeon","Dentist",,,,,,,,,"Oral surgeon","5462511302181601691","Haliliye","false","TR","0x153471b8d5992df1:0x4bcebd167417419b",,,,,,"https://lh5.googleusercontent.com/p/AF1QipMURE9NJs413R2WgXPPwBobNPONddc7J_jX1clh=w426-h240-k-no","6","false","/g/11fsjd572s","37.168506","38.8076467","Yenişehir","Monday","8:30 AM to 7:30 PM","Tuesday","8:30 AM to 7:30 PM","Wednesday","8:30 AM to 7:30 PM","Thursday","8:30 AM to 7:30 PM","Friday","8:30 AM to 7:30 PM","Saturday","8:30 AM to 7:30 PM","Sunday","Closed","false",,,"ChIJ8S2Z1bhxNBURm0EXdBa9zks","63300",,"17","33",,,,,,"2024-12-13T09:43:40.666Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.13224828347045,38.826258825044945,16z?hl=en","diş hekimleri","Şanlıurfa","Yenişehir Cd. No:22",,"false","Dr. Öğr. Üyesi Osman Habek, Ağız Diş Ve Çene Cerrahisi","4.4","https://www.google.com/maps/search/?api=1&query=Dr.%20%C3%96%C4%9Fr.%20%C3%9Cyesi%20Osman%20Habek%2C%20A%C4%9F%C4%B1z%20Di%C5%9F%20Ve%20%C3%87ene%20Cerrahisi&query_place_id=ChIJ8S2Z1bhxNBURm0EXdBa9zks","https://www.doktortakvimi.com/osman-habek/agiz-dis-ve-cene-cerrahisi-dis-hekimi/sanliurfa?utm_source=google&utm_medium=gmb&utm_campaign=163474&utm_content=website"
,,,,,,,,,,,,,,,,,,"Kamberiye, 877. Sk. no:2 D:1, 63040 Haliliye/Şanlıurfa, Türkiye","Dentist",,,,,,,,,,"Dentist","16158194668241157769","Haliliye","false","TR","0x1534710eb32ea461:0xe03d7070e41ffe89",,,,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4ro2Egqas2-S9yX2sNzu3Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=191.22485&pitch=0&thumbfov=100","2","false","/g/11wfkdl0y7","37.1584969","38.7919919","Kamberiye","Monday","9:30 AM to 8 PM","Tuesday","9:30 AM to 8 PM","Wednesday","9:30 AM to 8 PM","Thursday","9:30 AM to 8 PM","Friday","9:30 AM to 8 PM","Saturday","10 AM to 6 PM","Sunday","Closed","false","+90 501 161 63 00","+905011616300","ChIJYaQusw5xNBURif4f5HBwPeA","63040",,"19","5",,,,,,"2024-12-13T09:43:49.645Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.13224828347045,38.75759917495505,16z?hl=en","diş hekimleri","Şanlıurfa","877. Sk. no:2 D:1",,"false","Cevheri's Dental Clinic","5","https://www.google.com/maps/search/?api=1&query=Cevheri's%20Dental%20Clinic&query_place_id=ChIJYaQusw5xNBURif4f5HBwPeA","https://www.cevherisdental.com/"
,,,,,,,,,"true",,,"true",,,,"true",,"Paşabağı, A, Uçaksavar kavşağı, 63040 Haliliye/Şanlıurfa, Türkiye","Dentist","Dental clinic",,,,,,,,,"Dentist","16678318547663999204","Haliliye","false","TR","0x1534715f9243ae43:0xe7754a5a845250e4",,,,,,"https://lh5.googleusercontent.com/p/AF1QipP3fDZGwEMyuZinOR7zrQIpPKlbOLEUlzKIxhf3=w408-h306-k-no","20","false","/g/11p678wrv3","37.1654622","38.8080192","Paşabağı","Monday","8:30 AM to 5 PM","Tuesday","8:30 AM to 5 PM","Wednesday","8:30 AM to 5 PM","Thursday","8:30 AM to 5 PM","Friday","8:30 AM to 5 PM","Saturday","8:30 AM to 5 PM","Sunday","Closed","false","+90 542 575 90 33","+905425759033","ChIJQ65Dkl9xNBUR5FBShFpKdec","63040",,"9","2",,,,,,"2024-12-13T09:43:49.725Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.15962390000001,38.80909391252247,16z?hl=en","diş hekimleri","Şanlıurfa","A, Uçaksavar kavşağı",,"false","Diş hekimi Berfin Binici","3","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20hekimi%20Berfin%20Binici&query_place_id=ChIJQ65Dkl9xNBUR5FBShFpKdec","https://instagram.com/dt.berfinbinici?igshid=MzMyNGUyNmU2YQ=="
"true",,,,,"true",,"true",,"true",,,"true",,"true",,"true",,"Osman Gazi, 398. Sk. 9A, 63300 Haliliye/Şanlıurfa, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","15508286678297543320","Haliliye","false","TR","0x1534703a9c6b1e9f:0xd738809146d90298",,,,,,"https://lh5.googleusercontent.com/p/AF1QipNo97gFIywA2u_r_5PMQbU7ikwb3ezlbSg9C6Sp=w408-h306-k-no","76","false","/g/11f0yv00ty","37.1729626","38.8084101","Osman Gazi","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 850 241 8682","+908502418682","ChIJnx5rnDpwNBURmALZRpGAONc","63300",,"13","59",,,,,,"2024-12-13T09:43:49.726Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.15962390000001,38.80909391252247,16z?hl=en","diş hekimleri","Şanlıurfa","398. Sk. 9A",,"false","Urfadent Udentoconcept Ağız ve Diş Sağlığı Polikliniği","4.5","https://www.google.com/maps/search/?api=1&query=Urfadent%20Udentoconcept%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJnx5rnDpwNBURmALZRpGAONc","http://www.udentoconcept.com/"
