"additionalInfo/Accessibility/0/Assistive hearing loop","additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible car park","additionalInfo/Accessibility/0/Wheelchair-accessible toilet","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible entrance","additionalInfo/Accessibility/1/Wheelchair-accessible toilet","additionalInfo/Accessibility/2/Wheelchair accessible entrance","additionalInfo/Accessibility/2/Wheelchair accessible parking lot","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible toilet","additionalInfo/Accessibility/3/Wheelchair accessible restroom","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair-accessible toilet","additionalInfo/Accessibility/4/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Gender-neutral toilets","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Amenities/1/Toilets","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Parking/0/Free parking lot","additionalInfo/Parking/0/Paid parking garage","additionalInfo/Parking/1/Free street parking","additionalInfo/Parking/1/Paid street parking","additionalInfo/Parking/2/On-site parking","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,"Özgürlük, B, Namık Kemal Bl. No:46, 07025 Kepez/Antalya, Türkiye","Dentist","Dental clinic","Teeth whitening service",,,,,,,,"Dentist","5368656618721560990","Kepez","false","TR","0x14c38fc50e6ea953:0x4a814cc017f2c99e",,"https://lh5.googleusercontent.com/p/AF1QipOBstplSbUximrZUJiTCLC_WwfScP0xcBxrGb2e=w408-h588-k-no","11","false","/g/11d_c_wnmy","36.9104872","30.6793623","Özgürlük","Monday","10:30 AM to 6 PM","Tuesday","10:30 AM to 6 PM","Wednesday","10:30 AM to 6 PM","Thursday","10:30 AM to 6 PM","Friday","10:30 AM to 6 PM","Saturday","10:30 AM to 3 PM","Sunday","Closed","false","+90 507 804 57 67","+905078045767","ChIJU6luDsWPwxQRnsnyF8BMgUo","07025",,"1","12",,,,,,"2024-12-13T09:44:35.342Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.91404714807618,30.668693972132623,16z?hl=en","diş hekimleri","Antalya","B, Namık Kemal Bl. No:46",,"false","Diş Hekimi Zeynep Akdoğan","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Zeynep%20Akdo%C4%9Fan&query_place_id=ChIJU6luDsWPwxQRnsnyF8BMgUo","https://www.hekimler.net/zeynep-akdogan"
,"true",,,,,,,,"true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,"true",,"Fabrikalar, 3002. Sk. No:34, 07090 Kepez/Antalya, Türkiye","Dental clinic","Dentist",,,,,,,,,"Dental clinic","2716729777755638126","Kepez","false","TR","0x14c38fc540bb56db:0x25b3c356c9d9c96e",,"https://lh5.googleusercontent.com/p/AF1QipP9ceESqklOBfMg6BbbgxANlxb8WqshkhGwxOaw=w590-h240-k-no","45","false","/g/11f3n9tlbt","36.9094623","30.679078","Fabrikalar","Monday","9 AM to 12 AM","Tuesday","9 AM to 12 AM","Wednesday","9 AM to 12 AM","Thursday","9 AM to 12 AM","Friday","9 AM to 12 AM","Saturday","9 AM to 9 PM","Sunday","10 AM to 7 PM","false","+90 506 096 01 00","+905060960100","ChIJ21a7QMWPwxQRbsnZyVbDsyU","07090",,"3","224",,,,,,"2024-12-13T09:44:35.344Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.91404714807618,30.668693972132623,16z?hl=en","diş hekimleri","Antalya","3002. Sk. No:34",,"false","Turuncu Ağız Ve Diş Sağlığı Poliklinigi (Özdilek) - Стоматологическая клиника - Zahnarzt Klinik -","4.8","https://www.google.com/maps/search/?api=1&query=Turuncu%20A%C4%9F%C4%B1z%20Ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklinigi%20(%C3%96zdilek)%20-%20%D0%A1%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0%20-%20Zahnarzt%20Klinik%20-&query_place_id=ChIJ21a7QMWPwxQRbsnZyVbDsyU","http://www.turuncudental.com/"
,"true",,,,,,,"true",,,,,,,"true",,,,,"true",,,"true",,,,"true",,,,,,,,,"true",,"Ahatlı, Ulusoy Cd. Gencer Apt No:42/A, 07090 Kepez/Antalya, Türkiye","Dental clinic","Dental implants periodontist","Dental implants provider","Dentist","Teeth whitening service",,,,,,"Dental clinic","3366813756233587163","Kepez","false","TR","0x14c38f619f28f1f1:0x2eb95345ed3399db",,"https://lh5.googleusercontent.com/p/AF1QipNPQt28yIbsE9xiYt-rgCBRBRNON4PLOiliXxrb=w408-h306-k-no","20","false","/g/11v05kb4t8","36.9085799","30.6564723","Ahatlı","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 505 495 30 36","+905054953036","ChIJ8fEon2GPwxQR25kz7UVTuS4","07090",,"4","46",,,,,,"2024-12-13T09:44:35.344Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.91404714807618,30.668693972132623,16z?hl=en","diş hekimleri","Antalya","Ulusoy Cd. Gencer Apt No:42/A",,"false","Antares Ağız Ve Diş Sağlığı Polikliniği","4.9","https://www.google.com/maps/search/?api=1&query=Antares%20A%C4%9F%C4%B1z%20Ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJ8fEon2GPwxQR25kz7UVTuS4","https://antaresdental.com/"
,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,"Özgürlük, Namık Kemal Bl. Şenbay apt, 07025 Kepez/Antalya, Türkiye","Dentist","Community health centre","Dental clinic","Dental hygienist","Dental implants periodontist","Dental implants provider","Teeth whitening service",,,,"Dentist","5537666424324975981","Kepez","false","TR","0x14c38f9c6fa0abef:0x4cd9be45ea7f6d6d",,"https://lh5.googleusercontent.com/p/AF1QipOGmnTOSAx0KJ53_9TVqqIySzigr8S6PeuYKa6g=w408-h522-k-no","10","false","/g/11q3cx49dw","36.9104666","30.6794203","Özgürlük","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 507 804 57 67","+905078045767","ChIJ76ugb5yPwxQRbW1_6kW-2Uw","07025",,"5","27",,,,,,"2024-12-13T09:44:35.344Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.91404714807618,30.668693972132623,16z?hl=en","diş hekimleri","Antalya","Namık Kemal Bl. Şenbay apt",,"false","Diş Hekimi Hasan Akdoğan - Antalya Diş Hekimi - Antalya Dentist","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Hasan%20Akdo%C4%9Fan%20-%20Antalya%20Di%C5%9F%20Hekimi%20-%20Antalya%20Dentist&query_place_id=ChIJ76ugb5yPwxQRbW1_6kW-2Uw","https://www.dthasanakdogan.com/"
,"true",,,,,,,"true",,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,"true",,"Kanal, Halide Edip Cd. No:17, 07080 Kepez/Antalya, Türkiye","Dentist","Dental clinic","Dental hygienist","Dental implants periodontist","Denture care center","Emergency dental service","Orthodontist","Pediatric dentist","Periodontist",,"Dentist","14044338002874657540","Kepez","false","TR","0x14c38fb5dd614781:0xc2e78300e6dceb04",,"https://lh5.googleusercontent.com/p/AF1QipNU7k2Ypaxr2LZG6YZulgT3SgMrtxgobTTcl98u=w408-h306-k-no","79","false","/g/11d_tmxtpk","36.918647","30.6755985","Kanal","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 242 334 64 69","+902423346469","ChIJgUdh3bWPwxQRBOvc5gCD58I","07080",,"7","84",,,,,,"2024-12-13T09:44:35.344Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.91404714807618,30.668693972132623,16z?hl=en","diş hekimleri","Antalya","Halide Edip Cd. No:17",,"false","Özel Maredent Ağız ve Diş Sağlığı Polikliniği MAREDENT DENTAL CLINIC","4.6","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Maredent%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi%20MAREDENT%20DENTAL%20CLINIC&query_place_id=ChIJgUdh3bWPwxQRBOvc5gCD58I","https://www.maredent.com.tr/"
,"true",,,,,,,"true",,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,"Yeni Doğan, 3066. Sk. No:57, 07090 Kepez/Antalya, Türkiye","Dentist",,,,,,,,,,"Dentist","12611468521848629854","Kepez","false","TR","0x14c38e31f18c492d:0xaf04efcd5cceea5e",,"https://lh5.googleusercontent.com/p/AF1QipOE9GNrAE6fVjLrqUtkt-CdCjUIVq3hvP08evK4=w408-h463-k-no","7","false","/g/11dxddhjdh","36.914978","30.6596399","Yeni Doğan","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 1 PM","Sunday","Closed","false","+90 242 242 88 68","+902422428868","ChIJLUmM8TGOwxQRXurOXM3vBK8","07090",,"9","30",,,,,,"2024-12-13T09:44:35.344Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.91404714807618,30.668693972132623,16z?hl=en","diş hekimleri","Antalya","3066. Sk. No:57","Özel Ahenk Ağız ve Diş Sağlığı Polikliniği","false","Special Harmony Dental Clinic","4.5","https://www.google.com/maps/search/?api=1&query=Special%20Harmony%20Dental%20Clinic&query_place_id=ChIJLUmM8TGOwxQRXurOXM3vBK8","http://ahenkdis.com/"
,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,"Kanal Mh. Halide Edip Adıvar cad. İğdirli Apt No:7/2, 07080 Kepez/Antalya, Türkiye","Dentist",,,,,,,,,,"Dentist","14207437116113228597","Kepez","true","TR","0x14c38fc8480e4b5d:0xc52af4c86aa11335",,"https://lh3.googleusercontent.com/ol55cPNdVhYLp6tkhREl3QHlfry6Kj-CefdaXFQPBiyTV29yK-_CjyqvGDChbdQ=w426-h240-k-no","3","false","/g/11b8t6nd8z","36.9188487","30.6757476","Kanal","Monday","8 AM to 8 PM","Tuesday","8 AM to 8 PM","Wednesday","8 AM to 8 PM","Thursday","8 AM to 8 PM","Friday","8 AM to 8 PM","Saturday","8 AM to 8 PM","Sunday","Closed","false","+90 242 334 64 69","+902423346469","ChIJXUsOSMiPwxQRNROhasj0KsU","07080",,"10","1",,,,,,"2024-12-13T09:44:35.345Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.91404714807618,30.668693972132623,16z?hl=en","diş hekimleri","Antalya","Kanal Mh. Halide Edip Adıvar cad. İğdirli Apt No:7/2",,"false","Diş Hekimi Emrah Aydın","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Emrah%20Ayd%C4%B1n&query_place_id=ChIJXUsOSMiPwxQRNROhasj0KsU","https://www.facebook.com/profile.php?id=566144136"
,,,"true",,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,"Sedir, Zambak Cd. No:2, 07010 Muratpaşa/Antalya, Türkiye","Dentist",,,,,,,,,,"Dentist","3185469194143479743","Muratpaşa","false","TR","0x14c38fdc6309b85b:0x2c350f5acfdf37bf",,"https://lh5.googleusercontent.com/p/AF1QipOl9R4-eLCTW4scSyMEg94po6DBVUEL7_mq-Wms=w408-h544-k-no","9","false","/g/11dfx_mjfx","36.9043927","30.6839743","Sedir","Monday","8 AM to 7 PM","Tuesday","8 AM to 7 PM","Wednesday","8 AM to 7 PM","Thursday","8 AM to 7 PM","Friday","8 AM to 7 PM","Saturday","Closed","Sunday","Closed","false","+90 242 335 54 24","+902423355424","ChIJW7gJY9yPwxQRvzffz1oPNSw","07010",,"11","27",,,,,,"2024-12-13T09:44:35.345Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.91404714807618,30.668693972132623,16z?hl=en","diş hekimleri","Antalya","Zambak Cd. No:2",,"false","Diş Hekimi Narin Çil Sönmez","4.7","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Narin%20%C3%87il%20S%C3%B6nmez&query_place_id=ChIJW7gJY9yPwxQRvzffz1oPNSw","https://www.tavsiyeediyorum.com/dishekimi_5098_narincil_sonmez.htm"
,"true",,,,,,,"true",,,,,,,"true",,,,,,,,,,"true",,,,,,,,,,,,,"Yeni Emek, Yıldırım Beyazıt Cd. No:116/A, 07060 Kepez/Antalya, Türkiye","Dentist","Cosmetic dentist","Dental clinic","Dental hygienist","Dental implants periodontist","Dental radiology","Emergency dental service","Oral surgeon","Pediatric dentist","Private hospital","Dentist","9138939641361128280","Kepez","false","TR","0x14c38f77c8950a7b:0x7ed4092f0310db58",,"https://lh5.googleusercontent.com/p/AF1QipN-IHxkKP06AqngcSmTL9fyvSeN9r4Zab_qXEZP=w408-h306-k-no","41","false","/g/11fd71vgph","36.9219117","30.6929381","Yeni Emek","Monday","9 AM to 6:30 PM","Tuesday","9 AM to 6:30 PM","Wednesday","9 AM to 6:30 PM","Thursday","9 AM to 6:30 PM","Friday","9 AM to 6:30 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 242 325 35 35","+902423253535","ChIJewqVyHePwxQRWNsQAy8J1H4","07060",,"15","107",,,,,,"2024-12-13T09:44:35.345Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.91404714807618,30.668693972132623,16z?hl=en","diş hekimleri","Antalya","Yıldırım Beyazıt Cd. No:116/A",,"false","IŞILTI Ağız ve Diş Sağlığı Polikliniği","4.8","https://www.google.com/maps/search/?api=1&query=I%C5%9EILTI%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJewqVyHePwxQRWNsQAy8J1H4","http://www.isiltilidisler.com/"
,"true",,,,,,,"true",,,,,,,"true",,,,,"true",,,,,"true",,,,,,,,,,,"true",,"Güvenlik Mahallesi Vatan Bulvarı, 282. Sk. 45/B, 07030 Muratpaşa/Antalya, Türkiye","Dental clinic","Dentist",,,,,,,,,"Dental clinic","3913337859767171127","Muratpaşa","false","TR","0x14c38fa4a924f0f1:0x364ef80cb9827837",,"https://lh5.googleusercontent.com/p/AF1QipN8MyKLliGp4Pk5ZfsblD3xHrjsYCo92-R9XJwk=w426-h240-k-no","52","false","/g/11rtmmlmr0","36.9047456","30.6831152","Güvenlik","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+90 242 344 07 89","+902423440789","ChIJ8fAkqaSPwxQRN3iCuQz4TjY","07030",,"16","619",,,,,,"2024-12-13T09:44:35.345Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.91404714807618,30.668693972132623,16z?hl=en","diş hekimleri","Antalya","Güvenlik Mahallesi Vatan Bulvarı, 282. Sk. 45/B",,"false","Özel Dinçalya Ağız ve Diş Sağlığı Polikliniği","4.4","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Din%C3%A7alya%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJ8fAkqaSPwxQRN3iCuQz4TjY","https://www.dincalyasmile.com/"
