"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible car park","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible entrance","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair-accessible seating","additionalInfo/Accessibility/3/Wheelchair-accessible toilet","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
,"true",,,,,,,,,,"true",,,,,,"true","Ömer Nasuhi Bilmen, Şht. Ercan Yılmaz Sk. No:1/1 İç Kapı No:2, 25100 Yakutiye/Erzurum, Türkiye","Dental clinic",,,,,,,,,"Dental clinic","9718320257227585556","Yakutiye","false","TR","0xaeca8ec59ceb5ffb:0x86de68c8b9887814",,"https://lh5.googleusercontent.com/p/AF1QipP9C-ooa7XgMWWSc-_mdf2VfpmnWANBuV-kMLwM=w408-h544-k-no","12","false","/g/11vdb25qhd","39.9129759","41.2651411","Ömer Nasuhi Bilmen","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 442 502 90 00","+904425029000","ChIJ-1_rnMWOyq4RFHiIucho3oY","25100",,"2","92","2024-12-13T09:45:21.055Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.919494124500076,41.2727715,16z?hl=en","diş hekimleri","Erzurum","Şht. Ercan Yılmaz Sk. No:1/1 İç Kapı No:2",,"false","ŞarkDent Ağız ve Diş Sağlığı Polikliniği","4.8","https://www.google.com/maps/search/?api=1&query=%C5%9EarkDent%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJ-1_rnMWOyq4RFHiIucho3oY","https://www.sarkdent.com/"
,"true",,,,,,,,,,"true",,,,,,,"Lalapaşa Mahallesi Polat Sokak Aydın Araz İş Merkezi Dış Kapı No: 7/1/10, 25030 Yakutiye/Erzurum, Türkiye","Dental clinic",,,,,,,,,"Dental clinic","10258196183744051310","Yakutiye","false","TR","0x406e5f0a3871ca4b:0x8e5c6f143054f86e",,"https://lh5.googleusercontent.com/p/AF1QipOpvOMJgKkvuLYOQfyCGwVAw6wLzo-wpwNDVuv3=w408-h544-k-no","24","false","/g/11j7d_sjsf","39.9112358","41.2719737","Lalapaşa","Monday","8:30 AM to 6 PM","Tuesday","8:30 AM to 6 PM","Wednesday","8:30 AM to 6 PM","Thursday","8:30 AM to 6 PM","Friday","8:30 AM to 6 PM","Saturday","8:30 AM to 6 PM","Sunday","Closed","false","+90 442 291 44 44","+904422914444","ChIJS8pxOApfbkARbvhUMBRvXI4","25030",,"3","137","2024-12-13T09:45:21.055Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.919494124500076,41.2727715,16z?hl=en","diş hekimleri","Erzurum","Lalapaşa Mahallesi Polat Sokak Aydın Araz İş Merkezi Dış Kapı No: 7/1/10",,"false","Özel ProfDent Erzurum Ağız ve Diş Sağlığı Polikliniği","4.8","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20ProfDent%20Erzurum%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJS8pxOApfbkARbvhUMBRvXI4","http://profdent.com.tr/"
,"true",,,,"true",,,,,"true",,,"true",,"true",,,"Muratpaşa Mah. İsmetpaşa Cad. Celal Emeç Apt. No.21.Kat.2, 25100 Yakutiye/Erzurum, Türkiye","Dental clinic","Dental hygienist","Dental implants periodontist","Dental implants provider","Dentist","Emergency dental service","Pediatric dentist",,,"Dental clinic","8112474085167920054","Yakutiye","false","TR","0x406e5f106cc543bd:0x70954c32dffef3b6",,"https://lh5.googleusercontent.com/p/AF1QipNa3D-WtQmo_Wkq3jP55p6scb_qDl5UjLh3qSAS=w408-h386-k-no","7","false","/g/11gg3pdq3v","39.9038387","41.2681633","Muratpaşa","Monday","9:30 AM to 6:30 PM","Tuesday","9:30 AM to 6:30 PM","Wednesday","9:30 AM to 6:30 PM","Thursday","9:30 AM to 6:30 PM","Friday","9:30 AM to 6:30 PM","Saturday","9:30 AM to 6:30 PM","Sunday","Closed","false","+90 542 502 40 25","+905425024025","ChIJvUPFbBBfbkARtvP-3zJMlXA","25100",,"6","118","2024-12-13T09:45:21.056Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.919494124500076,41.2727715,16z?hl=en","diş hekimleri","Erzurum","Muratpaşa Mah. İsmetpaşa Cad. Celal Emeç Apt. No.21.Kat.2",,"false","ÖZEL KILINÇ AĞIZ & DİŞ SAĞLIĞI POLİKLİNİĞİ - Doc.Dr. Adnan KILINÇ & Dr.Dt. Zekiye KILINÇ","4.9","https://www.google.com/maps/search/?api=1&query=%C3%96ZEL%20KILIN%C3%87%20A%C4%9EIZ%20%26%20D%C4%B0%C5%9E%20SA%C4%9ELI%C4%9EI%20POL%C4%B0KL%C4%B0N%C4%B0%C4%9E%C4%B0%20-%20Doc.Dr.%20Adnan%20KILIN%C3%87%20%26%20Dr.Dt.%20Zekiye%20KILIN%C3%87&query_place_id=ChIJvUPFbBBfbkARtvP-3zJMlXA","https://www.kilincdentalklinik.com/"
"true",,,,,"true",,,,,,"true",,,,,"true",,"Lalapaşa, ESTETİK İŞ MERKEZİ, Yakutiye Cd. NO:58, 25080 Yakutiye/Erzurum, Türkiye","Dentist","Dental clinic","Dental hygienist","Dental implants periodontist","Dental implants provider","Dental laboratory",,,,"Dentist","7051817771190862691","Yakutiye","false","TR","0x406e5faa633f0b59:0x61dd16e6989e4363",,"https://lh5.googleusercontent.com/p/AF1QipPqotdydqLUiowEcGZw86f2pzrPp7q5I0r4jK_O=w408-h270-k-no","16","false","/g/11bychxck_","39.9068084","41.2718387","Lalapaşa","Monday","9 AM to 6:30 PM","Tuesday","9 AM to 6:30 PM","Wednesday","9 AM to 6:30 PM","Thursday","9 AM to 6:30 PM","Friday","9 AM to 6:30 PM","Saturday","9 AM to 6:30 PM","Sunday","Closed","false","+90 442 235 50 52","+904422355052","ChIJWQs_Y6pfbkARY0OemOYW3WE","25080",,"7","134","2024-12-13T09:45:21.056Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.919494124500076,41.2727715,16z?hl=en","diş hekimleri","Erzurum","ESTETİK İŞ MERKEZİ, Yakutiye Cd. NO:58",,"false","Estetik Diş Polikliniği","4.4","https://www.google.com/maps/search/?api=1&query=Estetik%20Di%C5%9F%20Poliklini%C4%9Fi&query_place_id=ChIJWQs_Y6pfbkARY0OemOYW3WE","http://estetikdiserzurum.com/"
"true",,,,,,,,,,,"true",,,,,,,"Lalapaşa, Mazi Sk., 25100 Yakutiye/Erzurum, Türkiye","Dental clinic","Dental hygienist","Dental implants periodontist","Dental implants provider","Dental laboratory","Dental radiology","Dentist","Denture care center","Teeth whitening service","Dental clinic","12708201877461948200","Yakutiye","false","TR","0x406e5f13c7761833:0xb05c9a46d0125728",,"https://lh5.googleusercontent.com/p/AF1QipPfZbDrh92dFcYZPpc9NJnRtmrbEVPprJsyd6iJ=w408-h906-k-no","10","false","/g/11gblf84qk","39.9093851","41.2703488","Lalapaşa","Monday","9 AM to 8:30 PM","Tuesday","9 AM to 8:30 PM","Wednesday","9 AM to 8:30 PM","Thursday","9 AM to 8:30 PM","Friday","9 AM to 8:30 PM","Saturday","10 AM to 6 PM","Sunday","10 AM to 6 PM","false","+90 442 233 54 64","+904422335464","ChIJMxh2xxNfbkARKFcS0EaaXLA","25100",,"8","204","2024-12-13T09:45:21.056Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.919494124500076,41.2727715,16z?hl=en","diş hekimleri","Erzurum","Mazi Sk.","ÖZEL ELİT DİŞ POLİKLİNİĞİ","false","Elit Diş Polikliniği","4.3","https://www.google.com/maps/search/?api=1&query=Elit%20Di%C5%9F%20Poliklini%C4%9Fi&query_place_id=ChIJMxh2xxNfbkARKFcS0EaaXLA","http://www.elitdisklinigi.net/"
,"true",,,,,,,,,,"true",,,,,,,"Rabia Ana, Mah. Yüzbaşı Reşit Bey Sok No:1, 25100 Yakutiye/Erzurum, Türkiye","Dentist",,,,,,,,,"Dentist","12805296741195965164","Yakutiye","false","TR","0x406e5f13c73e73e3:0xb1b58d8a6e73e2ec",,"https://lh5.googleusercontent.com/p/AF1QipN8H-eCHG6LtaGRNARStn9iwl-vV6xoGnA5ipLD=w408-h544-k-no","5","false","/g/11bv3mq39v","39.9060529","41.2753594","Rabia Ana","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10 AM to 7 PM","Sunday","Closed","false","+90 533 341 22 39","+905333412239","ChIJ43M-xxNfbkAR7OJzboqNtbE","25100",,"10","9","2024-12-13T09:45:21.056Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.919494124500076,41.2727715,16z?hl=en","diş hekimleri","Erzurum","Mah. Yüzbaşı Reşit Bey Sok No:1",,"false","Diş hekimi İrfan Buzdağlı","4.6","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20hekimi%20%C4%B0rfan%20Buzda%C4%9Fl%C4%B1&query_place_id=ChIJ43M-xxNfbkAR7OJzboqNtbE","https://www.erzurumozeldis.com/"
"true",,,,"true",,,"true",,,,"true",,,,,,,"Lalapaşa, Çaykara Cd., 25100 Yakutiye/Erzurum, Türkiye","Dental clinic",,,,,,,,,"Dental clinic","3520612037599980088","Yakutiye","true","TR","0x406e5f16ab2e2c2f:0x30dbb9fec51c6a38",,"https://lh5.googleusercontent.com/p/AF1QipPDHKUuRD9BAEDMnQAgl2BOdSG7wBLbMguW7Sl5=w408-h544-k-no","7","false","/g/1v0lj7sm","39.9094476","41.2669357","Lalapaşa","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+90 442 233 45 90","+904422334590","ChIJLywuqxZfbkAROGocxf652zA","25100",,"11","81","2024-12-13T09:45:21.057Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.919494124500076,41.2727715,16z?hl=en","diş hekimleri","Erzurum","Çaykara Cd.","Erzurum Ağız ve Diş Sağlığı Merkezi","false","Erzurum Oral and Dental Health Center","3.5","https://www.google.com/maps/search/?api=1&query=Erzurum%20Oral%20and%20Dental%20Health%20Center&query_place_id=ChIJLywuqxZfbkAROGocxf652zA","https://erzurumadsm.saglik.gov.tr/"
,,"true",,,,,,,,,"true",,,"true","true","true","true","Lalapaşa, Ankara Sk. No:15 D:G, 25100 Yakutiye/Erzurum, Türkiye","Dentist",,,,,,,,,"Dentist","8029874946481090492","Yakutiye","false","TR","0x406e5f1832c78a99:0x6f6fd8b83fd06fbc",,"https://lh5.googleusercontent.com/p/AF1QipO_jieQ_0QM2Qw3jTArtK2exrXIOz0y-vwm68RE=w408-h544-k-no","12","false","/g/11lns5sdr0","39.907443","41.26884","Lalapaşa",,,,,,,,,,,,,,,"false","+90 553 009 41 89","+905530094189","ChIJmYrHMhhfbkARvG_QP7jYb28","25100",,"12","21","2024-12-13T09:45:21.057Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.919494124500076,41.2727715,16z?hl=en","diş hekimleri","Erzurum","Ankara Sk. No:15 D:G",,"false","Diş Hekimi Buse Dolar","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Buse%20Dolar&query_place_id=ChIJmYrHMhhfbkARvG_QP7jYb28","http://erzurumcocukdis.com/"
"true",,,,"true",,,"true",,,,"true",,,,,,,"Rabia Ana, Fatih Sultan Mehmet Blv. No:47, 25100 Yakutiye/Erzurum, Türkiye","Dental clinic","Private hospital",,,,,,,,"Dental clinic","487434001885640543","Yakutiye","false","TR","0x406e5fb5012acffb:0x6c3b6a465d7375f",,"https://lh5.googleusercontent.com/p/AF1QipMRQd6xbK38slUmi-I9pTj87FIx1ItYOuwcfL37=w408-h543-k-no","13","false","/g/11rplp0773","39.8974358","41.2801908","Rabia Ana","Monday","9 AM to 9 PM","Tuesday","9 AM to 9 PM","Wednesday","9 AM to 9 PM","Thursday","9 AM to 9 PM","Friday","9 AM to 9 PM","Saturday","9 AM to 9 PM","Sunday","12 to 5 PM","false","+90 442 442 09 25","+904424420925","ChIJ-88qAbVfbkARXzfXZaS2wwY","25100",,"14","39","2024-12-13T09:45:21.057Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.919494124500076,41.2727715,16z?hl=en","diş hekimleri","Erzurum","Fatih Sultan Mehmet Blv. No:47",,"false","Diş 25 Ağız Ve Diş Sağlığı Merkezi","4.4","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%2025%20A%C4%9F%C4%B1z%20Ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Merkezi&query_place_id=ChIJ-88qAbVfbkARXzfXZaS2wwY","https://www.dis25.com/"
"true",,,,"true",,,"true",,,,"true",,,,,,,"Yunus Emre Mah, Atatürk Blv. No:13, 25100 Palandöken/Erzurum, Türkiye","Dental clinic",,,,,,,,,"Dental clinic","12022822530684098359","Palandöken","false","TR","0x406e5f8c6887a8eb:0xa6d9a5645afd1737",,"https://lh5.googleusercontent.com/p/AF1QipObIMdQ4tNO1WVEUDtTvFOzrIcbSkUTPy6Fgc1q=w426-h240-k-no","31","false","/g/11hyjdx414","39.8955766","41.2723879","Yunus Emre Mah","Monday","9 AM to 10 PM","Tuesday","9 AM to 10 PM","Wednesday","9 AM to 10 PM","Thursday","9 AM to 10 PM","Friday","9 AM to 10 PM","Saturday","9 AM to 10 PM","Sunday","9 AM to 8 PM","false","+90 442 317 10 49","+904423171049","ChIJ66iHaIxfbkARNxf9WmSl2aY","25100",,"18","228","2024-12-13T09:45:21.058Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@39.919494124500076,41.2727715,16z?hl=en","diş hekimleri","Erzurum","Atatürk Blv. No:13",,"false","Özel DENT Erzurum Ağız Ve Diş Sağlığı Polikliniği","4.5","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20DENT%20Erzurum%20A%C4%9F%C4%B1z%20Ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJ66iHaIxfbkARNxf9WmSl2aY","https://www.erzurumdis.com/"
