"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible car park","additionalInfo/Accessibility/0/Wheelchair-accessible entrance","additionalInfo/Accessibility/0/Wheelchair-accessible toilet","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible entrance","additionalInfo/Accessibility/1/Wheelchair-accessible toilet","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair-accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible toilet","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair-accessible toilet","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/On-site services","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
"true",,,,,,,"true",,,,,"true",,,,,,"true",,,,,,,,"Gazi, Ömer Asım Aksoy Cd. No:35/A, 27060 Şehitkamil/Gaziantep, Türkiye","Dentist",,,,,,,,,,"Dentist","13847302377315028934","Şehitkamil","false","TR","0x1531e16dc645314b:0xc02b80256148cfc6",,"https://lh5.googleusercontent.com/p/AF1QipMsCB8pMudiuL1pHgy-z4fNtFhbFkjGB5AcoDVb=w408-h725-k-no","75","false","/g/11c603_91f","37.068107","37.3528239","Gazi","Monday","8 AM to 7 PM","Tuesday","8 AM to 7 PM","Wednesday","8 AM to 7 PM","Thursday","8 AM to 7 PM","Friday","8 AM to 7 PM","Saturday","8 AM to 7 PM","Sunday","Closed","false","+90 544 844 22 27","+905448442227","ChIJSzFFxm3hMRURxs9IYSWAK8A","27060",,"1","127",,,,,,"2024-12-13T09:43:58.988Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.02171567022464,37.36209671591501,16z?hl=en","diş hekimleri","Gaziantep","Ömer Asım Aksoy Cd. No:35/A",,"false","Diş Hekimi Orhan YÜZBAŞ","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Orhan%20Y%C3%9CZBA%C5%9E&query_place_id=ChIJSzFFxm3hMRURxs9IYSWAK8A","http://www.mayadentalklinik.com/"
,,"true",,,,,,,"true",,,,,,,,,"true",,,,,,,"true","İncili Pınar, Nail Bilen Cd., 27090 Şehitkamil/Gaziantep, Türkiye","Dentist",,,,,,,,,,"Dentist","10697946839047826690","Şehitkamil","false","TR","0x1531e1447d23f4dd:0x9476bdf84f756d02",,"https://lh5.googleusercontent.com/p/AF1QipOa3_Sp2m2SNZ9eEJJak0L3ao2tGTO5tdJ1D9cO=w408-h726-k-no","29","false","/g/11k4k476d1","37.070358","37.367301","İncili Pınar","Monday","12 to 8 PM","Tuesday","12 to 8 PM","Wednesday","12 to 8 PM","Thursday","12 to 8 PM","Friday","12 to 8 PM","Saturday","12 to 8 PM","Sunday","Closed","false","+90 537 835 80 45","+905378358045","ChIJ3fQjfUThMRURAm11T_i9dpQ","27090",,"4","115",,,,,,"2024-12-13T09:43:58.989Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.02171567022464,37.36209671591501,16z?hl=en","diş hekimleri","Gaziantep","Nail Bilen Cd.",,"false","Diş Hekimi Yusuf Arslan","4.7","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Yusuf%20Arslan&query_place_id=ChIJ3fQjfUThMRURAm11T_i9dpQ","https://arslanklinik.com/tr/"
"true",,,,,,,"true",,,,,"true",,,,,,"true",,,,,"true",,,"Alleben, Atatürk Blv. No:52 / A, 27010 Şahinbey/Gaziantep, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","15616442664018133266","Şahinbey","false","TR","0x1531e1434b799d37:0xd8b8bfdd0c0e4112",,"https://lh5.googleusercontent.com/p/AF1QipP7SpY8u8iGJU3QnM7QvCMbLM3p7kj-UiX20gPR=w408-h306-k-no","5","false","/g/11s5fr5syr","37.0622521","37.371245","Alleben","Monday","8:30 AM to 7 PM","Tuesday","8:30 AM to 7 PM","Wednesday","8:30 AM to 7 PM","Thursday","8:30 AM to 7 PM","Friday","8:30 AM to 7 PM","Saturday","8:30 AM to 5 PM","Sunday","Closed","false","+90 505 982 77 56","+905059827756","ChIJN515S0PhMRUREkEODN2_uNg","27010",,"8","21",,,,,,"2024-12-13T09:43:58.990Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.02171567022464,37.36209671591501,16z?hl=en","diş hekimleri","Gaziantep","Atatürk Blv. No:52 / A",,"false","Diş hekimi Erkam Sofuoğlu Ağız ve Diş Sağlığı Doktoru Kliniği Merkezi Acil En iyi Dişçi Şehitkamil Şahinbey Gaziantep","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20hekimi%20Erkam%20Sofuo%C4%9Flu%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Doktoru%20Klini%C4%9Fi%20Merkezi%20Acil%20En%20iyi%20Di%C5%9F%C3%A7i%20%C5%9Eehitkamil%20%C5%9Eahinbey%20Gaziantep&query_place_id=ChIJN515S0PhMRUREkEODN2_uNg","http://erkamsofuogludisklinigi.com/"
"true",,,,,,,"true",,,,,,,,,,,"true",,,,,,,,"Gazi, Anıl Apartmanı, Milli Egemenlik Cd. D:59, 27060 Şehitkamil/Gaziantep, Türkiye","Dental clinic","Dentist","Medical Center","Orthodontist","Pediatrician",,,,,,"Dental clinic","4847862915398728162","Şehitkamil","true","TR","0x1531e10c47ef4607:0x434711a2f02179e2",,"https://lh5.googleusercontent.com/p/AF1QipNCdrrTdyTnGt5AIBwAR2Q-j0nXar8OG3pWuwSN=w408-h306-k-no","11","false","/g/1vy9j9t1","37.0682005","37.3478015","Gazi","Monday","8 AM to 5 PM","Tuesday","8 AM to 5 PM","Wednesday","8 AM to 5 PM","Thursday","8 AM to 5 PM","Friday","8 AM to 5 PM","Saturday","8 AM to 3 PM","Sunday","Closed","false","+90 342 335 55 25","+903423355525","ChIJB0bvRwzhMRUR4nkh8KIRR0M","27060",,"13","16",,,,,,"2024-12-13T09:43:58.991Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.02171567022464,37.36209671591501,16z?hl=en","diş hekimleri","Gaziantep","Anıl Apartmanı, Milli Egemenlik Cd. D:59","Dentorium Ağız Ve Diş Sağlığı Polikliniği","false","Dentori Oral and Maxillofacial Clinic","4.4","https://www.google.com/maps/search/?api=1&query=Dentori%20Oral%20and%20Maxillofacial%20Clinic&query_place_id=ChIJB0bvRwzhMRUR4nkh8KIRR0M","http://www.dentorium.com.tr/"
"true",,,,,,,"true",,,,,"true",,,"true",,,"true",,,,,"true",,,"15 temmuz mahallesi 148004 numaralı cadde No : 1, D:1, 27500 Şehitkamil/Gaziantep, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","6574442857852337025","Şehitkamil","false","TR","0x1531e17993e829c7:0x5b3d1cf242647b81",,"https://lh5.googleusercontent.com/p/AF1QipM8QKU8j32XoC5FX0mkZk3JCiwqOBt96r4RgqxY=w408-h306-k-no","23","false","/g/11q2yhcn9_","37.0592288","37.3321617","15 Temmuz","Monday","8 AM to 6 PM","Tuesday","8 AM to 6 PM","Wednesday","8 AM to 6 PM","Thursday","8 AM to 6 PM","Friday","8 AM to 6 PM","Saturday","8 AM to 6 PM","Sunday","8 AM to 6 PM","false","+90 533 661 90 76","+905336619076","ChIJxynok3nhMRURgXtkQvIcPVs","27500",,"2","67",,,,,,"2024-12-13T09:44:01.460Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.06283169999999,37.32776674774504,16z?hl=en","diş hekimleri","Gaziantep","15 temmuz mahallesi 148004 numaralı cadde No : 1, D:1",,"false","Özel Oral Çınar Ağız ve Diş Sağlığı Polikliniği","4.8","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20Oral%20%C3%87%C4%B1nar%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJxynok3nhMRURgXtkQvIcPVs","http://instagram.com/oralcinarads"
,,"true",,,,,,,,,,,,,,,,"true",,,,,"true",,,"Binevler Mahallesi Şehit Emre Bakırcı Caddesi B Blok İnş, No:36/A, 27070 Şahinbey/Gaziantep, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","9909923711286375365","Şahinbey","false","TR","0x1531e166457fa66d:0x89871f1c4271f3c5",,"https://lh5.googleusercontent.com/p/AF1QipPKWjWcBZnUHoUAuE8NFiDKcjrmFUCJjVpeJEX3=w408-h306-k-no","4","false","/g/11q8thq7sx","37.0568313","37.3316459","Binevler","Monday","8 AM to 12 AM","Tuesday","8 AM to 12 AM","Wednesday","8 AM to 12 AM","Thursday","8 AM to 12 AM","Friday","8 AM to 12 AM","Saturday","8 AM to 12 AM","Sunday","12 to 10 PM","false","+90 342 271 00 27","+903422710027","ChIJbaZ_RWbhMRURxfNxQhwfh4k","27070",,"3","133",,,,,,"2024-12-13T09:44:01.460Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.06283169999999,37.32776674774504,16z?hl=en","diş hekimleri","Gaziantep","Binevler Mahallesi Şehit Emre Bakırcı Caddesi B Blok İnş, No:36/A",,"false","Devadent Binevler Şubesi","4.8","https://www.google.com/maps/search/?api=1&query=Devadent%20Binevler%20%C5%9Eubesi&query_place_id=ChIJbaZ_RWbhMRURxfNxQhwfh4k","https://www.deva-dent.com.tr/"
,,,"true",,,,,,,,,,,,,,,"true",,,,,,,"true","Pancarlı, Karlstad Cd. NO:10, 27060 Şehitkamil/Gaziantep, Türkiye","Dentist",,,,,,,,,,"Dentist","17587620014971182990","Şehitkamil","false","TR","0x1531e183f41028a3:0xf413c7386ce85f8e",,"https://lh5.googleusercontent.com/p/AF1QipONwdCK168bOSJjKV-GfGYVojK0cRykDN7_gpye=w408-h408-k-no","13","false","/g/11y6996sr1","37.0648568","37.340595","Pancarlı","Monday","9 AM to 2 AM","Tuesday","9 AM to 2 AM","Wednesday","9 AM to 2 AM","Thursday","9 AM to 2 AM","Friday","9 AM to 2 AM","Saturday","9 AM to 2 AM","Sunday","9 AM to 8 PM","false","+90 534 774 90 90","+905347749090","ChIJoygQ9IPhMRURjl_obDjHE_Q","27060",,"4","33",,,,,,"2024-12-13T09:44:01.460Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.06283169999999,37.32776674774504,16z?hl=en","diş hekimleri","Gaziantep","Karlstad Cd. NO:10",,"false","Diş Hekimi Utku Ural","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Utku%20Ural&query_place_id=ChIJoygQ9IPhMRURjl_obDjHE_Q","http://www.dishekimiutkuural.com.tr/"
"true",,,,,,,"true",,,,,"true",,,,,,"true",,,,,,,,"Batıkent, Kürşat Tüzmen Blv. No:31, 27560 Şehitkamil/Gaziantep, Türkiye","Dentist","Dental clinic","Dental hygienist","Dental implants periodontist","Denture care center","Teeth whitening service",,,,,"Dentist","10705152956809208223","Şehitkamil","false","TR","0x1531e1a27fe7ed29:0x949057e558d5e19f",,"https://lh5.googleusercontent.com/p/AF1QipPcVr2_leKKs4kv5-AU1S5wJVASTe-iORR9KAEm=w408-h544-k-no","17","false","/g/11clvz32t1","37.076051","37.332666","Batıkent","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 342 329 09 11","+903423290911","ChIJKe3nf6LhMRURn-HVWOVXkJQ","27560",,"7","49",,,,,,"2024-12-13T09:44:01.461Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.06283169999999,37.32776674774504,16z?hl=en","diş hekimleri","Gaziantep","Kürşat Tüzmen Blv. No:31",,"false","Dishekimi Ahmet Oskay Poliklinigi","4.8","https://www.google.com/maps/search/?api=1&query=Dishekimi%20Ahmet%20Oskay%20Poliklinigi&query_place_id=ChIJKe3nf6LhMRURn-HVWOVXkJQ","http://www.dtahmetoskay.com/"
"true",,,,,,,"true",,,,,"true",,,"true",,,"true",,,,,,,,"Osmangazi, Abdulkadir Aksu Blv. No:98/C, 27560 Şehitkamil/Gaziantep, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","12062137792741230963","Şehitkamil","false","TR","0x1531e1555b1e2249:0xa765526a2027c973",,"https://lh5.googleusercontent.com/p/AF1QipPrHBPiCILHwxtvxfR1aRrG5mneTZy5c1IXwCHQ=w408-h502-k-no","10","false","/g/11sw297mw7","37.0633225","37.3346658","Osmangazi","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 533 553 27 60","+905335532760","ChIJSSIeW1XhMRURc8knIGpSZac","27560",,"8","33",,,,,,"2024-12-13T09:44:01.461Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.06283169999999,37.32776674774504,16z?hl=en","diş hekimleri","Gaziantep","Abdulkadir Aksu Blv. No:98/C",,"false","Özel G Dent Ağız ve Diş Polikliniği - İmplant - Ortodonti - Zirkonyum - Porselen Diş","5","https://www.google.com/maps/search/?api=1&query=%C3%96zel%20G%20Dent%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Poliklini%C4%9Fi%20-%20%C4%B0mplant%20-%20Ortodonti%20-%20Zirkonyum%20-%20Porselen%20Di%C5%9F&query_place_id=ChIJSSIeW1XhMRURc8knIGpSZac","https://www.gdent.com.tr/"
,,"true",,,,,,,,,,,,,,,,"true",,,,,,,,"Pancarlı, Bahriye Üçok Blv. Fatih Apt No:22/B, 27000 Şehitkamil/Gaziantep, Türkiye","Dentist",,,,,,,,,,"Dentist","12594759196945630464","Şehitkamil","false","TR","0x1531e13ae9d4e141:0xaec992c27d874500",,"https://lh5.googleusercontent.com/p/AF1QipPcffIy2-zB6ZsRr6-qNnF3w9j5CTpKxagnKiT8=w408-h594-k-no","7","false","/g/11sg30whz6","37.063393","37.340388","Pancarlı","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Closed","false","+90 533 701 71 11","+905337017111","ChIJQeHU6TrhMRURAEWHfcKSya4","27000",,"10","6",,,,,,"2024-12-13T09:44:01.461Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@37.06283169999999,37.32776674774504,16z?hl=en","diş hekimleri","Gaziantep","Bahriye Üçok Blv. Fatih Apt No:22/B",,"false","Diş Hekimi Beyza Atar Yıldız","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Beyza%20Atar%20Y%C4%B1ld%C4%B1z&query_place_id=ChIJQeHU6TrhMRURAEWHfcKSya4","https://www.doktortakvimi.com/beyza-atar-3/dis-hekimi/gaziantep?utm_source=google&utm_medium=gmb&utm_campaign=259819&utm_content=post_book_now"
