"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair-accessible car park","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible entrance","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible toilet","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair-accessible toilet","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Gender-neutral toilets","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Amenities/1/Toilets","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Parking/0/Free parking lot","additionalInfo/Parking/0/Free street parking","additionalInfo/Parking/1/Free street parking","additionalInfo/Parking/1/On-site parking","additionalInfo/Parking/1/Paid parking garage","additionalInfo/Parking/2/On-site parking","additionalInfo/Parking/2/Paid street parking","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
"true",,,,,"true",,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,"Limonluk, İsmet İnönü Bulvarı, Sema Apt 302/11, 33110 Yenişehir, Türkiye","Dentist",,,,,,,,,"Dentist","343164527187311219","Yenişehir","false","TR","0x1527f353517c6a27:0x4c32a51be83ba73",,"https://lh5.googleusercontent.com/p/AF1QipNBuqqXVMmyLEvu8QKxu1RM3lJLEbwgZkg3UoSO=w408-h306-k-no","36","false","/g/11fmmmtc36","36.7953657","34.5978245","Limonluk","Monday","8:30 AM to 7 PM","Tuesday","8:30 AM to 7 PM","Wednesday","8:30 AM to 7 PM","Thursday","8:30 AM to 7 PM","Friday","8:30 AM to 7 PM","Saturday","8:30 AM to 3 PM","Sunday","Closed","false","+90 324 325 35 25","+903243253525","ChIJJ2p8UVPzJxURc7qDvlEqwwQ","33110",,"1","137",,,,,,"2024-12-13T09:44:19.175Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.7978381,34.59550874184491,16z?hl=en","diş hekimleri","Mersin","İsmet İnönü Bulvarı, Sema Apt 302/11",,"false","Uzm. Dt. Tayfun TURNA | Ağız Diş ve Çene Cerrahisi Uzmanı","4.9","https://www.google.com/maps/search/?api=1&query=Uzm.%20Dt.%20Tayfun%20TURNA%20%7C%20A%C4%9F%C4%B1z%20Di%C5%9F%20ve%20%C3%87ene%20Cerrahisi%20Uzman%C4%B1&query_place_id=ChIJJ2p8UVPzJxURc7qDvlEqwwQ","http://www.tayfunturna.com/"
"true",,,,,,"true",,,,"true",,,,,,,"true",,,,,,,,,,,,,,,"Limonluk Mah. 2415 Sk. No:1(Tapu Yanı Oktay İnşaat) Kat:3 Daire :12, 33140 Yenişehir/Mersin, Türkiye","Dentist","Cosmetic dentist","Dental clinic","Dental hygienist","Dental implants provider","Pediatric dentist",,,,"Dentist","5890179738198221869","Yenişehir","false","TR","0x1527f570c6ed0d19:0x51be1f43ae82242d",,"https://lh5.googleusercontent.com/p/AF1QipNIy_uOCnjquZxZuyjKZMVTmvxyUiqopAmAVR0=w408-h306-k-no","15","false","/g/11ry1my9lh","36.7989957","34.5998805","Limonluk","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 2 PM","Sunday","Closed","false","+90 531 912 92 25","+905319129225","ChIJGQ3txnD1JxURLSSCrkMfvlE","33140",,"2","44",,,,,,"2024-12-13T09:44:19.176Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.7978381,34.59550874184491,16z?hl=en","diş hekimleri","Mersin","Limonluk Mah. 2415 Sk. No:1(Tapu Yanı Oktay İnşaat) Kat:3 Daire :12",,"false","Diş Hekimi M.Furkan KİRAZ","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20M.Furkan%20K%C4%B0RAZ&query_place_id=ChIJGQ3txnD1JxURLSSCrkMfvlE","https://dtfurkankiraz.com/"
"true",,,,,"true",,,,,,,,,,,,"true",,,,,,,,,,,,,,,"Limonluk Mah. İsmet İnönü Bulvarı, Yusuf Yiğit Apt. 181/2, 33120 Yenişehir/Mersin, Türkiye","Dental clinic","Dental laboratory","Dental radiology","Dentist","Health and beauty shop","Oral surgeon",,,,"Dental clinic","18428762787757796156","Yenişehir","false","TR","0x1527f49081c3810b:0xffc01e1d9e3dab3c",,"https://lh5.googleusercontent.com/p/AF1QipPOChO_oD_q-px0bM9NZQqC-hU8lTcghZA4TrSr=w408-h306-k-no","7","false","/g/11b77npwqw","36.8025723","34.5846999","Limonluk","Monday","9 AM to 5:30 PM","Tuesday","9 AM to 5:30 PM","Wednesday","9 AM to 5:30 PM","Thursday","9 AM to 5:30 PM","Friday","9 AM to 5:30 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 324 329 52 52","+903243295252","ChIJC4HDgZD0JxURPKs9nh0ewP8","33120",,"3","232",,,,,,"2024-12-13T09:44:19.176Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.7978381,34.59550874184491,16z?hl=en","diş hekimleri","Mersin","Limonluk Mah. İsmet İnönü Bulvarı, Yusuf Yiğit Apt. 181/2",,"false","Prof. Dr. Birkan Taha ÖZKAN | Uzman Diş Hekimi, Ağız Diş ve Çene Cerrahisi","4.7","https://www.google.com/maps/search/?api=1&query=Prof.%20Dr.%20Birkan%20Taha%20%C3%96ZKAN%20%7C%20Uzman%20Di%C5%9F%20Hekimi%2C%20A%C4%9F%C4%B1z%20Di%C5%9F%20ve%20%C3%87ene%20Cerrahisi&query_place_id=ChIJC4HDgZD0JxURPKs9nh0ewP8","https://www.birkanozkanklinik.com.tr/"
"true",,,,,"true",,,,"true",,,,"true",,,,"true",,,,,,"true",,"true",,,"true",,"true","true","Limonluk, Yeniköy Muhlis Tamam Blokları, C blok No:414CB, 33120 Yenişehir/Mersin, Türkiye","Dental clinic",,,,,,,,,"Dental clinic","11875230605636806909","Yenişehir","false","TR","0x1527f354d801ce05:0xa4cd4b5172d428fd",,"https://lh5.googleusercontent.com/p/AF1QipN8qHxEEywyTHre2d2r-JH3nUeARZPZw2D8jMvf=w426-h240-k-no","16","false","/g/11l6f_hsfx","36.7989188","34.599913","Limonluk","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 4 PM","Sunday","Closed","false","+90 542 631 70 23","+905426317023","ChIJBc4B2FTzJxUR_SjUclFLzaQ","33120",,"7","36",,,,,,"2024-12-13T09:44:19.176Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.7978381,34.59550874184491,16z?hl=en","diş hekimleri","Mersin","Yeniköy Muhlis Tamam Blokları, C blok No:414CB",,"false","Dentali Diş Kliniği-Dt. Ali Cihan BİRCAN","5","https://www.google.com/maps/search/?api=1&query=Dentali%20Di%C5%9F%20Klini%C4%9Fi-Dt.%20Ali%20Cihan%20B%C4%B0RCAN&query_place_id=ChIJBc4B2FTzJxUR_SjUclFLzaQ","https://www.dentalidental.com/"
"true",,,,,"true",,,,"true",,,,,,"true",,,,"true",,,,,,,,,,,,,"İkinci Çevreyolu Baçelievler Mh. H. No:480(çati Restaurant Karşisi), Hüseyin Okan Merzeci Blv, 33140 Yenişehir/Mersin, Türkiye","Dental clinic","Dental hygienist","Dental implants periodontist","Dental radiology","Emergency dental service","Oral surgeon","Pediatric dentist","Teeth whitening service",,"Dental clinic","13649427718037897773","Yenişehir","false","TR","0x1527f4a7edd8888d:0xbd6c82311905022d",,"https://lh5.googleusercontent.com/p/AF1QipPvDmHMPnONzJmZzgwHc0fiC9ZwWtEN29jBGFVu=w408-h544-k-no","214","false","/g/1td8gc0_","36.792237","34.592828","Bahçelievler","Monday","9 AM to 6:30 PM","Tuesday","9 AM to 6:30 PM","Wednesday","9 AM to 6:30 PM","Thursday","9 AM to 6:30 PM","Friday","9 AM to 6:30 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 507 518 53 88","+905075185388","ChIJjYjY7af0JxURLQIFGTGCbL0","33140",,"8","986",,,,,,"2024-12-13T09:44:19.176Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.7978381,34.59550874184491,16z?hl=en","diş hekimleri","Mersin","İkinci Çevreyolu Baçelievler Mh. H. No:480(çati Restaurant Karşisi), Hüseyin Okan Merzeci Blv",,"false","Mersin Özel Akdeniz Ağız ve Diş Sağlığı Polikliniği","4.9","https://www.google.com/maps/search/?api=1&query=Mersin%20%C3%96zel%20Akdeniz%20A%C4%9F%C4%B1z%20ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJjYjY7af0JxURLQIFGTGCbL0","https://www.akdenizagizdis.com/yenisehir/"
"true",,,,,"true",,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,"2. Çevre Yolu Bahçelievler mah. No:480 H.Okan merkezi bulvarı, 33000 Bahçelievler/Mersin, Türkiye","Dentist",,,,,,,,,"Dentist","7574778053664008429","Bahçelievler","false","TR","0x1527f59d9a0bec8d:0x691f0481c51168ed",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5C7TkCj8qBlxLw7Re18nnQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.84131&pitch=0&thumbfov=100","1","false","/g/11s41vd8lp","36.7917788","34.5929805","Bahçelievler",,,,,,,,,,,,,,,"false","+90 850 333 8344","+908503338344","ChIJjewLmp31JxUR7WgRxYEEH2k","33000",,"11","2",,,,,,"2024-12-13T09:44:19.177Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.7978381,34.59550874184491,16z?hl=en","diş hekimleri","Mersin","2. Çevre Yolu Bahçelievler mah. No:480 H.Okan merkezi bulvarı",,"false","Dt. İbrahim Özdemir","5","https://www.google.com/maps/search/?api=1&query=Dt.%20%C4%B0brahim%20%C3%96zdemir&query_place_id=ChIJjewLmp31JxUR7WgRxYEEH2k","https://www.doktortakvimi.com/ibrahim-ozdemir-7/dis-hekimi/mersin?utm_source=google&utm_medium=gmb&utm_campaign=263019&utm_content=url_appointment"
"true",,,,,"true",,,,"true",,,,,,,,"true",,,,,,,,,,,,,,,"Bahçelievler Mahallesi H. Okan Merzeci Bulvarı, 1858. Sk. No:480, 33000 Yenişehir/Mersin, Türkiye","Dentist",,,,,,,,,"Dentist","12692287931227340445","Yenişehir","false","TR","0x1527f5a2f946d01f:0xb02410a077c87e9d",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yFathSruNxZDtfQf055Omw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=16.654968&pitch=0&thumbfov=100","1","false","/g/11t45pmf5g","36.7921923","34.5928475","Bahçelievler",,,,,,,,,,,,,,,"false","+90 850 333 8344","+908503338344","ChIJH9BG-aL1JxURnX7Id6AQJLA","33000",,"12","2",,,,,,"2024-12-13T09:44:19.177Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.7978381,34.59550874184491,16z?hl=en","diş hekimleri","Mersin","Bahçelievler Mahallesi H. Okan Merzeci Bulvarı, 1858. Sk. No:480",,"false","Dt. Elif Cemre Güven","5","https://www.google.com/maps/search/?api=1&query=Dt.%20Elif%20Cemre%20G%C3%BCven&query_place_id=ChIJH9BG-aL1JxURnX7Id6AQJLA","https://www.doktortakvimi.com/elif-cemre-guven/dis-hekimi/mersin?utm_source=google&utm_medium=gmb&utm_campaign=244960&utm_content=url_appointment"
,,"true",,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,"Güvenevler, Hüseyin Okan Merzeci Blv 518A, 33100 Yenişehir/Mersin, Türkiye","Dentist",,,,,,,,,"Dentist","4549987270429969210","Yenişehir","false","TR","0x1527f554121f5137:0x3f24cd50ca870b3a",,"https://lh5.googleusercontent.com/p/AF1QipOvWZMfpNUmbD9APEE-WbZ9BtgZSmgshanFpcse=w426-h240-k-no","12","false","/g/11ny380brp","36.7883744","34.5869866","Güvenevler","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 2 PM","Sunday","Closed","false","+90 324 326 00 65","+903243260065","ChIJN1EfElT1JxUROguHylDNJD8","33100",,"13","48",,,,,,"2024-12-13T09:44:19.177Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.7978381,34.59550874184491,16z?hl=en","diş hekimleri","Mersin","Hüseyin Okan Merzeci Blv 518A",,"false","UZMANDENT Mersin Diş Hekimi Canberk Karaçay/Estetik Dişhekimliği-İmplant Tedavisi","4.9","https://www.google.com/maps/search/?api=1&query=UZMANDENT%20Mersin%20Di%C5%9F%20Hekimi%20Canberk%20Kara%C3%A7ay%2FEstetik%20Di%C5%9Fhekimli%C4%9Fi-%C4%B0mplant%20Tedavisi&query_place_id=ChIJN1EfElT1JxUROguHylDNJD8","http://instagram.com/mersin_dishekimi"
,"true",,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,,,,,"Güvenevler, 1947. Sk. Bahçekent 2 Apt No 3 İç Kapı No :2, 33070 Yenişehir/Mersin, Türkiye","Pediatric dentist",,,,,,,,,"Pediatric dentist","6670837044524156161","Yenişehir","false","TR","0x1527f311abeff681:0x5c9392f2c9610501",,"https://lh5.googleusercontent.com/p/AF1QipMOGdTLrA2ytnjEDVlbDIq8fDLxAEFOJEEOipY=w408-h409-k-no","29","false","/g/11kw0svy1w","36.788343","34.5871632","Güvenevler","Monday","9 AM to 5:30 PM","Tuesday","9 AM to 5:30 PM","Wednesday","9 AM to 5:30 PM","Thursday","9 AM to 5:30 PM","Friday","9 AM to 5:30 PM","Saturday","9 AM to 2 PM","Sunday","Closed","false","+90 850 474 1775","+908504741775","ChIJgfbvqxHzJxURAQVhyfKSk1w","33070",,"15","327",,,,,,"2024-12-13T09:44:19.177Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.7978381,34.59550874184491,16z?hl=en","diş hekimleri","Mersin","1947. Sk. Bahçekent 2 Apt No 3 İç Kapı No :2",,"false","Uzm.Dt.Özge ACAR UZMANDENT Çocuk Diş Hekimliği","5","https://www.google.com/maps/search/?api=1&query=Uzm.Dt.%C3%96zge%20ACAR%20UZMANDENT%20%C3%87ocuk%20Di%C5%9F%20Hekimli%C4%9Fi&query_place_id=ChIJgfbvqxHzJxURAQVhyfKSk1w","https://www.doktorsitesi.com/uzm-dr-dt-ozge-acar/dis-hekimi/mersin"
,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,"İkinci Çevreyolu Bahçelievler Mh. H. No:480, Hüseyin Okan Merzeci Blv, 33140 Yenişehir/Mersin, Türkiye","Dentist",,,,,,,,,"Dentist","3673670123546615341","Yenişehir","false","TR","0x1527f578f3aa1c1f:0x32fb7f836ff61e2d",,"https://lh5.googleusercontent.com/p/AF1QipMT5pdaK32LeKVdVz8YxUTSTu9hfA0FjzvMAlsm=w408-h406-k-no","39","false","/g/11mthpyg3v","36.7873579","34.5854043","Güvenevler",,,,,,,,,,,,,,,"false","+90 850 474 0394","+908504740394","ChIJHxyq83j1JxURLR72b4N_-zI","33140",,"18","163",,,,,,"2024-12-13T09:44:19.177Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@36.7978381,34.59550874184491,16z?hl=en","diş hekimleri","Mersin","İkinci Çevreyolu Bahçelievler Mh. H. No:480, Hüseyin Okan Merzeci Blv",,"false","Diş Hekimi Kenan Sevi","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Kenan%20Sevi&query_place_id=ChIJHxyq83j1JxURLR72b4N_-zI","https://www.doktorsitesi.com/dt-kenan-sevi/dis-hekimi/mersin"
