"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair-accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible toilet","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible toilet","additionalInfo/Accessibility/2/Wheelchair accessible parking lot","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Parking/0/Free parking lot","additionalInfo/Parking/0/On-site parking","additionalInfo/Parking/0/Paid parking garage","additionalInfo/Parking/1/Free street parking","additionalInfo/Parking/1/Paid parking lot","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/On-site services","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
,"true",,,,,,,,,,,,,"true",,,,,,,,,,,,,"Çarşı, Uzun Sk. Hayrioğlu İş Merkezi No:74 Kat :1, 61000 Ortahisar/Trabzon, Türkiye","Dentist",,,,,,,,,,"Dentist","1253857805605365248","Ortahisar","false","TR","0x40643d7b8e2604db:0x11669907edf56600",,"https://lh5.googleusercontent.com/p/AF1QipP0yyvD8mqGa7hjG_odDQLPGASxvhsL3GjEWxxE=w408-h371-k-no","7","false","/g/11h4vn4sh1","41.0054347","39.7242155","Çarşı","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","12 to 4 PM","Sunday","Closed","false","+90 542 261 72 61","+905422617261","ChIJ2wQmjns9ZEARAGb17QeZZhE","61000",,"1","19",,,,,,"2024-12-13T09:45:12.705Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.031380531748304,39.69582248314139,16z?hl=en","diş hekimleri","Trabzon","Uzun Sk. Hayrioğlu İş Merkezi No:74 Kat :1",,"false","Dt. Çağatay TAŞDEMİR","5","https://www.google.com/maps/search/?api=1&query=Dt.%20%C3%87a%C4%9Fatay%20TA%C5%9EDEM%C4%B0R&query_place_id=ChIJ2wQmjns9ZEARAGb17QeZZhE","https://www.doktorsitesi.com/dt-cagatay-tasdemir/dis-hekimi/trabzon"
"true",,,,,"true",,,,,"true",,"true","true",,,"true",,,,,,,,"true",,,"Fatih, Yavuz Selim Blv. No:336 /A, 61000 Ortahisar/Trabzon, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","12629838522251505112","Ortahisar","false","TR","0x40643d57b89bf9a7:0xaf46333861586dd8",,"https://lh5.googleusercontent.com/p/AF1QipOAk067fcOEzKY5_GrWwwMAk2QgXza_TjFvH9C3=w408-h277-k-no","53","false","/g/11t608svgm","40.9988578","39.6967049","Fatih","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 6 PM","Sunday","Closed","false","+90 462 333 44 00","+904623334400","ChIJp_mbuFc9ZEAR2G1YYTgzRq8","61000",,"4","111",,,,,,"2024-12-13T09:45:12.707Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.031380531748304,39.69582248314139,16z?hl=en","diş hekimleri","Trabzon","Yavuz Selim Blv. No:336 /A",,"false","DEKODENT AĞIZ ve DİŞ SAĞLIĞI POLİKLİNİĞİ - Trabzon Diş Kliniği","4.8","https://www.google.com/maps/search/?api=1&query=DEKODENT%20A%C4%9EIZ%20ve%20D%C4%B0%C5%9E%20SA%C4%9ELI%C4%9EI%20POL%C4%B0KL%C4%B0N%C4%B0%C4%9E%C4%B0%20-%20Trabzon%20Di%C5%9F%20Klini%C4%9Fi&query_place_id=ChIJp_mbuFc9ZEAR2G1YYTgzRq8","https://dekodenttrabzon.com/"
,"false",,,,,,"false",,,,,,,"true",,,,,,,,,,"true",,,"Kemerkaya, Deniz Apartmanı, Kunduracılar Cd. No:57 Kat:2, 61200 Ortahisar/Trabzon, Türkiye","Dentist","Dental clinic",,,,,,,,,"Dentist","6747890954637281614","Ortahisar","false","TR","0x40643c6a77a2615d:0x5da55312463a094e",,"https://lh5.googleusercontent.com/p/AF1QipPqeo65FNtDB0Kc-Z2Vg_eNYwmSELFgHjiBpcwt=w427-h240-k-no","6","false","/g/1tct_xym","41.0061365","39.7290794","Kemerkaya","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10:30 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10:30 AM to 4 PM","Sunday","Closed","false","+90 462 321 71 09","+904623217109","ChIJXWGid2o8ZEARTgk6RhJTpV0","61200",,"5","7",,,,,,"2024-12-13T09:45:12.707Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.031380531748304,39.69582248314139,16z?hl=en","diş hekimleri","Trabzon","Deniz Apartmanı, Kunduracılar Cd. No:57 Kat:2","Dt.Özgür Paşaoğlu | Dt.Tuğba Öztürk Samancı","false","Dr. Ozgur Pasaoglu","5","https://www.google.com/maps/search/?api=1&query=Dr.%20Ozgur%20Pasaoglu&query_place_id=ChIJXWGid2o8ZEARTgk6RhJTpV0","http://ozgurpasaoglu.com/"
,"true",,,"false",,,,,"false",,,,,"true",,,,,,,,,,,,,"Gazipaşa, Samancı Apt, Uzun Sk. No:23 K:2, 61030 Ortahisar/Trabzon, Türkiye","Dentist",,,,,,,,,,"Dentist","488061596987101672","Ortahisar","false","TR","0x40643b8c0000002d:0x6c5f16fc4ed11e8",,"https://lh5.googleusercontent.com/p/AF1QipNMq7PyFCmeT9Alu1ZSNY9ppMM698ieWpFQDGmw=w408-h355-k-no","31","false","/g/11dxns5sfb","41.0049674","39.7286789","Gazipaşa","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","10 AM to 4 PM","Sunday","Closed","false","+90 462 326 25 99 ext. 3213727","+904623262599","ChIJLQAAAIw7ZEAR6BHtxG_xxQY","61030",,"6","109",,,,,,"2024-12-13T09:45:12.707Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.031380531748304,39.69582248314139,16z?hl=en","diş hekimleri","Trabzon","Samancı Apt, Uzun Sk. No:23 K:2",,"false","Esse Diş Kliniği Esra Eroğlu Keskin","4.9","https://www.google.com/maps/search/?api=1&query=Esse%20Di%C5%9F%20Klini%C4%9Fi%20Esra%20Ero%C4%9Flu%20Keskin&query_place_id=ChIJLQAAAIw7ZEAR6BHtxG_xxQY","https://esseklinik.com.tr/"
,"true",,,,,,,,,,,,,"true",,,,,,,"true",,"true",,,,"Kemerkaya Mahallesi Kunduracılar Caddesi, Cevdet Akçay Sk. Mine Apartmanı No:3 Kat:1, 61050 Ortahisar/Trabzon, Türkiye","Dentist","Dental clinic","Dental hygienist","Dental implants periodontist","Dental implants provider","Denture care center","Endodontist","Oral surgeon","Orthodontist","Periodontist","Dentist","13327429878061821198","Ortahisar","false","TR","0x40643da4be0bd947:0xb8f48adcc2cd6d0e",,"https://lh5.googleusercontent.com/p/AF1QipPr_8BYi3gBT08PaRAq5JP83Uqf_1md9qSz4y5-=w408-h541-k-no","14","false","/g/11s7tckmm4","41.0061635","39.7291374","Kemerkaya","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 1 PM","Sunday","Closed","false","+90 462 322 58 87","+904623225887","ChIJR9kLvqQ9ZEARDm3NwtyK9Lg","61050",,"7","143",,,,,,"2024-12-13T09:45:12.707Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.031380531748304,39.69582248314139,16z?hl=en","diş hekimleri","Trabzon","Kemerkaya Mahallesi Kunduracılar Caddesi, Cevdet Akçay Sk. Mine Apartmanı No:3 Kat:1",,"false","Diş Hekimi Ali Rıza Birinci","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Ali%20R%C4%B1za%20Birinci&query_place_id=ChIJR9kLvqQ9ZEARDm3NwtyK9Lg","https://www.dtalirizabirinci.com/"
"true",,,,,"true",,,,,"true",,,"true",,,"true","true",,,,,,,"true",,"true","Kahramanmaraş Cad. Ticaretmektep Sok Kurşunoğlu Apt, Kat:3 No:5, 61200 Trabzon Merkez/Trabzon, Türkiye","Dentist",,,,,,,,,,"Dentist","11027386164466349138","Trabzon Merkez","false","TR","0x40643c444389e6ed:0x9909254a7e12f452",,"https://lh5.googleusercontent.com/p/AF1QipOFFGzWG_mlePI3kWJqa4Xe658tUXqKuoQ5u7w6=w408-h539-k-no","7","false","/g/1tzvv0t5","41.005657","39.7281533","Kemerkaya","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 4 PM","Sunday","Closed","false","+90 462 321 80 85","+904623218085","ChIJ7eaJQ0Q8ZEARUvQSfkolCZk","61200",,"9","11",,,,,,"2024-12-13T09:45:12.707Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.031380531748304,39.69582248314139,16z?hl=en","diş hekimleri","Trabzon","Kahramanmaraş Cad. Ticaretmektep Sok Kurşunoğlu Apt, Kat:3 No:5",,"false","Dişhekimi Gökhan SEÇKİN","4.6","https://www.google.com/maps/search/?api=1&query=Di%C5%9Fhekimi%20G%C3%B6khan%20SE%C3%87K%C4%B0N&query_place_id=ChIJ7eaJQ0Q8ZEARUvQSfkolCZk","http://www.dentomed.com.tr/"
,"true",,,,,,,,,,,,,"true",,,,,,,,,,,,,"kunduracılar cad , kemerkaya mah mehmet sokak atallar apartmanı, No 6 kat 1, 61000 Ortahisar/Trabzon, Türkiye","Dentist",,,,,,,,,,"Dentist","1964150660268777106","Ortahisar","false","TR","0x40643d438ed083a7:0x1b42109e76ab5e92",,"https://lh5.googleusercontent.com/p/AF1QipMYNoZPzwp9MaW6ppLhKYQ-rzOztj4YxPyGpx1e=w408-h544-k-no","19","false","/g/11tcxm71zn","41.0062674","39.7289566","Kemerkaya","Monday","9:30 AM to 4:30 PM","Tuesday","9:30 AM to 4:30 PM","Wednesday","9:30 AM to 4:30 PM","Thursday","9:30 AM to 4:30 PM","Friday","9:30 AM to 4:30 PM","Saturday","11 AM to 2 PM","Sunday","Closed","false","+90 532 629 17 45","+905326291745","ChIJp4PQjkM9ZEARkl6rdp4QQhs","61000",,"10","20",,,,,,"2024-12-13T09:45:12.708Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.031380531748304,39.69582248314139,16z?hl=en","diş hekimleri","Trabzon","kunduracılar cad , kemerkaya mah mehmet sokak atallar apartmanı, No 6 kat 1",,"false","Uzm. Dt. Malike Aslan Kehribar, Periodontoloji, Diş Hekimi","5","https://www.google.com/maps/search/?api=1&query=Uzm.%20Dt.%20Malike%20Aslan%20Kehribar%2C%20Periodontoloji%2C%20Di%C5%9F%20Hekimi&query_place_id=ChIJp4PQjkM9ZEARkl6rdp4QQhs","https://www.doktortakvimi.com/malike-aslan-kehribar/periodontoloji-dis-hekimi/trabzon?utm_source=google&utm_medium=gmb&utm_campaign=129357&utm_content=url_appointment"
,,,,,,,,,,,,,,"true",,,,,,,,,,,,,"Kemerkaya, Gazipaşa Cd. No:9, 61200 Trabzon Merkez/Trabzon, Türkiye","Dentist",,,,,,,,,,"Dentist","1316967451584981353","Trabzon Merkez","false","TR","0x40643c6a77a2615d:0x1246ceeb6c796969",,"https://lh5.googleusercontent.com/p/AF1QipPYOseRy8aXbv2qV9warnetTNgSLbFV1kwMZSG_=w426-h240-k-no","6","false","/g/1tdp8329","41.0067154","39.7301708","Kemerkaya","Monday","10 AM to 6 PM","Tuesday","10 AM to 6 PM","Wednesday","10 AM to 6 PM","Thursday","10 AM to 6 PM","Friday","10 AM to 6 PM","Saturday","10 AM to 2 PM","Sunday","Closed","false","+90 462 321 03 97","+904623210397","ChIJXWGid2o8ZEARaWl5bOvORhI","61200",,"11","23",,,,,,"2024-12-13T09:45:12.708Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.031380531748304,39.69582248314139,16z?hl=en","diş hekimleri","Trabzon","Gazipaşa Cd. No:9",,"false","Dt. Ertan Yıldız","4.7","https://www.google.com/maps/search/?api=1&query=Dt.%20Ertan%20Y%C4%B1ld%C4%B1z&query_place_id=ChIJXWGid2o8ZEARaWl5bOvORhI","https://iyifirma.com/dr-ertan-yildiz/"
"true",,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,"Kurşunoğlu Apt, Kahramanmaraş Cad, Ticaret Mektep Sk. No:8, 61100 Ortahisar/Trabzon, Türkiye","Dental clinic","Cosmetic dentist","Dental hygienist","Dental implants periodontist","Dental laboratory","Dentist","Endodontist","Orthodontist","Pediatric dentist",,"Dental clinic","12719735702001385400","Ortahisar","false","TR","0x40643c38252c2f9d:0xb085943a9aa57fb8",,"https://lh5.googleusercontent.com/p/AF1QipNrNyoA-j083n-Fy7kAIQnNgFnCZ7mru35pF4jU=w408-h408-k-no","28","false","/g/1q67350tq","41.0055342","39.7281541","Kemerkaya","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6 PM","Friday","9 AM to 6 PM","Saturday","9 AM to 3 PM","Sunday","Closed","false","+90 850 554 5454","+908505545454","ChIJnS8sJTg8ZEARuH-lmjqUhbA","61100",,"12","210",,,,,,"2024-12-13T09:45:12.708Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.031380531748304,39.69582248314139,16z?hl=en","diş hekimleri","Trabzon","Kurşunoğlu Apt, Kahramanmaraş Cad, Ticaret Mektep Sk. No:8","Dentomed: İmplant ve Estetik Diş Hekimliği","false","Dentomed","4.5","https://www.google.com/maps/search/?api=1&query=Dentomed&query_place_id=ChIJnS8sJTg8ZEARuH-lmjqUhbA","https://www.dentomed.com.tr/"
"true",,,,,,"true",,,,,,,,"true",,,,,,,,,,,,,"Cumhuriyet Baysal işhanı Özgür Caddesi D:kat :5, 61000 Ortahisar, Türkiye","Dentist","Prosthodontist",,,,,,,,,"Dentist","16288094818637185167","Ortahisar","false","TR","0x40643ddd3e5600e5:0xe20aeff084c0008f",,"https://lh5.googleusercontent.com/p/AF1QipPlMluVZ4Eet58APv-MNU4rfNA3YgdKy25fx1wo=w408-h271-k-no","5","false","/g/11gjwg42_q","41.0041168","39.7269482","Cumhuriyet","Monday","9 AM to 6:30 PM","Tuesday","9 AM to 6:30 PM","Wednesday","9 AM to 6:30 PM","Thursday","9 AM to 6:30 PM","Friday","9 AM to 6:30 PM","Saturday","9 AM to 1 PM","Sunday","Closed","false","+90 462 322 06 06","+904623220606","ChIJ5QBWPt09ZEARjwDAhPDvCuI","61000",,"13","10",,,,,,"2024-12-13T09:45:12.708Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@41.031380531748304,39.69582248314139,16z?hl=en","diş hekimleri","Trabzon","Cumhuriyet Baysal işhanı Özgür Caddesi D:kat :5",,"false","Elçin Şüküroğlu,Uzman Dr.Dt.","5","https://www.google.com/maps/search/?api=1&query=El%C3%A7in%20%C5%9E%C3%BCk%C3%BCro%C4%9Flu%2CUzman%20Dr.Dt.&query_place_id=ChIJ5QBWPt09ZEARjwDAhPDvCuI","https://www.elcinsukuroglu.com/"
