"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible car park","additionalInfo/Accessibility/0/Wheelchair-accessible entrance","additionalInfo/Accessibility/0/Wheelchair-accessible seating","additionalInfo/Accessibility/0/Wheelchair-accessible toilet","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair-accessible entrance","additionalInfo/Accessibility/1/Wheelchair-accessible toilet","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible seating","additionalInfo/Accessibility/2/Wheelchair-accessible toilet","additionalInfo/Accessibility/3/Wheelchair accessible seating","additionalInfo/Accessibility/3/Wheelchair-accessible toilet","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Amenities/0/Gender-neutral toilets","additionalInfo/Amenities/0/Restroom","additionalInfo/Amenities/0/Toilets","additionalInfo/Amenities/1/Restroom","additionalInfo/Amenities/1/Toilets","additionalInfo/Children/0/Nursing room","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Parking/0/Free of charge street parking","additionalInfo/Parking/0/Free parking lot","additionalInfo/Parking/0/On-site parking","additionalInfo/Parking/1/Free parking lot","additionalInfo/Parking/1/Free street parking","additionalInfo/Parking/1/On-site parking","additionalInfo/Parking/2/On-site parking","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/On-site services","additionalInfo/Service options/0/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","claimThisBusiness","countryCode","fid","googleFoodUrl","imageUrl","imagesCount","isAdvertisement","kgmid","location/lat","location/lng","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","placeId","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,"true",,,"Atatürk Bulvarı, Karadede İş Merkezi,No:115 Kat:2/15 Carrefour üstü, 35930 İzmir, Türkiye","Dentist",,,,,,,,,,"Dentist","12105266646647852322","Çeşme","false","TR","0x14bb7a3154555945:0xa7fe8be0f0d44d22",,"https://lh5.googleusercontent.com/p/AF1QipOoLhLzOLnlP5-dvTJlrNnJ0VIDUH5dzITWIHCU=w426-h240-k-no","10","false","/g/11g8f_0y4w","38.3273118","26.311943","Sakarya",,,,,,,,,,,,,,,"false","+90 533 746 97 17","+905337469717","ChIJRVlVVDF6uxQRIk3U8OCL_qc","35930",,"3","81",,,,,,"2024-12-13T09:44:50.090Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,26.457613796687195,13z?hl=en","diş hekimleri","İzmir","Atatürk Bulvarı, Karadede İş Merkezi,No:115 Kat:2/15 Carrefour üstü",,"false","Diş Hekimi M.Özden Tuncel","4.9","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20M.%C3%96zden%20Tuncel&query_place_id=ChIJRVlVVDF6uxQRIk3U8OCL_qc","http://www.cesmedishekimi.com/"
,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"Altıntaş Mahallesi İnönü Caddesi Örücü Apt. No: 140 K:, D:3, 35260 Konak, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","6845984246000643094","Konak","false","TR","0x14bbd92651e63fef:0x5f01d26670c9ec16",,"https://lh5.googleusercontent.com/p/AF1QipOpdzAhslF6JDmJLCyPGlLD5ZQPBQva3EtStxdV=w408-h544-k-no","29","false","/g/11gl36bkzn","38.4069434","27.1230913","Altıntaş","Monday","8:30 AM to 8:30 PM","Tuesday","8:30 AM to 8:30 PM","Wednesday","8:30 AM to 8:30 PM","Thursday","8:30 AM to 8:30 PM","Friday","8:30 AM to 8:30 PM","Saturday","8:30 AM to 8:30 PM","Sunday","Closed","false","+90 232 227 78 77","+902322277877","ChIJ7z_mUSbZuxQRFuzJcGbSAV8","35260",,"2","17",,,,,,"2024-12-13T09:44:50.206Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.60035884999998,26.323103111562148,13z?hl=en","diş hekimleri","İzmir","Altıntaş Mahallesi İnönü Caddesi Örücü Apt. No: 140 K:, D:3",,"false","Diş Hekimi İlhan İdiz","4.8","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20%C4%B0lhan%20%C4%B0diz&query_place_id=ChIJ7z_mUSbZuxQRFuzJcGbSAV8","https://ilhanidiz.com/"
,,,"true",,,,,,,,,,,,,,,,,"true",,,,"true",,,,,,,,,,,"true",,,"Alsancak, Kıbrıs Şehitleri Caddesi, 1440. Sk. no: 3, 35220 Konak/İzmir, Türkiye","Dentist","Doctor",,,,,,,,,"Dentist","4255750159159111521","Konak","false","TR","0x14bbd947d3e07037:0x3b0f7638c97daf61",,"https://lh5.googleusercontent.com/p/AF1QipN41qgu68pDD17zmSQkbQsr6vSpWOa6tH5nVIb_=w408-h408-k-no","4","false","/g/11h0ygg7pc","38.435482","27.142968","Alsancak","Monday","8:30 AM to 8:30 PM","Tuesday","8:30 AM to 8:30 PM","Wednesday","8:30 AM to 8:30 PM","Thursday","8:30 AM to 8:30 PM","Friday","8:30 AM to 8:30 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+90 505 108 35 35","+905051083535","ChIJN3Dg00fZuxQRYa99yTh2Dzs","35220",,"3","165",,,,,,"2024-12-13T09:44:50.207Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.60035884999998,26.323103111562148,13z?hl=en","diş hekimleri","İzmir","Kıbrıs Şehitleri Caddesi, 1440. Sk. no: 3",,"false","Diş Hekimi Emre Özbay | Alsancak Diş Hekimi | İzmir Diş Hekimi","4.9","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Emre%20%C3%96zbay%20%7C%20Alsancak%20Di%C5%9F%20Hekimi%20%7C%20%C4%B0zmir%20Di%C5%9F%20Hekimi&query_place_id=ChIJN3Dg00fZuxQRYa99yTh2Dzs","http://www.dentozbay.com/"
"false",,,,,,,,,,"false",,,,,"false",,,,,"true",,,,"true",,,,,,,,,,,"true",,,"16 Eylül, 3007. Sk., 35930 Çeşme/İzmir, Türkiye","Dentist",,,,,,,,,,"Dentist","3526219216292292474","Çeşme","false","TR","0x14bb7a418714b1ef:0x30efa5b1cb42277a",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eQzvBfN0Jg_s_5r9nkmy9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=217.16402&pitch=0&thumbfov=100","1","false","/g/1hc3nt07x","38.3273402","26.3069954","16 Eylül",,,,,,,,,,,,,,,"false","+90 232 712 97 76","+902327129776","ChIJ77EUh0F6uxQReidCy7Gl7zA","35930",,"10","12",,,,,,"2024-12-13T09:44:50.091Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,26.457613796687195,13z?hl=en","diş hekimleri","İzmir","3007. Sk.",,"false","Dr. Bora Akbaykal","4.3","https://www.google.com/maps/search/?api=1&query=Dr.%20Bora%20Akbaykal&query_place_id=ChIJ77EUh0F6uxQReidCy7Gl7zA","http://www.boraakbaykal.com/"
,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"Mehmet Ali Akman, Sunar Apartmanı, Fahrettin Altay Meydanı No:2 K:1 - D:1, 35290 Konak/İzmir, Türkiye","Dentist","Dental clinic","Dental implants provider","Teeth whitening service",,,,,,,"Dentist","1452345254766232940","Konak","false","TR","0x14bbdd579db36baf:0x1427c4507990c56c",,"https://lh5.googleusercontent.com/p/AF1QipMzMiHfydyHten55ufilcsYEYVGTob3UBPASPI=w408-h305-k-no","19","false","/g/11st7nkv7q","38.3972898","27.0709475","Mehmet Ali Akman","Monday","12 AM to 9 PM","Tuesday","10 AM to 12 AM","Wednesday","12 AM to 9 PM","Thursday","10 AM to 9 PM","Friday","10 AM to 9 PM","Saturday","10 AM to 7 PM","Sunday","Closed","false","+90 505 766 31 10","+905057663110","ChIJr2uznVfduxQRbMWQeVDEJxQ","35290",,"4","52",,,,,,"2024-12-13T09:44:50.207Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.60035884999998,26.323103111562148,13z?hl=en","diş hekimleri","İzmir","Sunar Apartmanı, Fahrettin Altay Meydanı No:2 K:1 - D:1",,"false","Diş Hekimi Zeynep Arslan Bayıroğlu/Diş Hekimi Hüseyin Bayıroğlu Muayenehanesi","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Zeynep%20Arslan%20Bay%C4%B1ro%C4%9Flu%2FDi%C5%9F%20Hekimi%20H%C3%BCseyin%20Bay%C4%B1ro%C4%9Flu%20Muayenehanesi&query_place_id=ChIJr2uznVfduxQRbMWQeVDEJxQ","http://www.izmirdisci.com/"
,,,"true",,,,,,,"false",,,,,,,,,,"true",,,,"true",,,,,,,,,,,"true",,"true","Yenikent, 75. Yıl Cumhuriyet Cd. No:128 D:B, 35430 Urla/İzmir, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","7274340109248471657","Urla","false","TR","0x14bb95587bcdaa35:0x64f3a5c9cb21a269",,"https://lh5.googleusercontent.com/p/AF1QipO4mxt-CNaKr65I1XKxevmX3YZqVjbr5-5_880s=w408-h306-k-no","11","false","/g/11vwlw85tr","38.3321458","26.7674663","Yenikent","Monday","10 AM to 7 PM","Tuesday","10 AM to 7 PM","Wednesday","10 AM to 7 PM","Thursday","10 AM to 7 PM","Friday","10 AM to 7 PM","Saturday","9 AM to 4 PM","Sunday","Closed","false","+90 536 885 18 09","+905368851809","ChIJNarNe1iVuxQRaaIhy8ml82Q","35430",,"12","17",,,,,,"2024-12-13T09:44:50.091Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,26.457613796687195,13z?hl=en","diş hekimleri","İzmir","75. Yıl Cumhuriyet Cd. No:128 D:B",,"false","Urla Diş Hekimi Muhammed Baytar Kliniği | İmplant, Zirkonyum, Gülüş Tasarımı","5","https://www.google.com/maps/search/?api=1&query=Urla%20Di%C5%9F%20Hekimi%20Muhammed%20Baytar%20Klini%C4%9Fi%20%7C%20%C4%B0mplant%2C%20Zirkonyum%2C%20G%C3%BCl%C3%BC%C5%9F%20Tasar%C4%B1m%C4%B1&query_place_id=ChIJNarNe1iVuxQRaaIhy8ml82Q","https://www.muhammedbaytar.com.tr/"
"false",,,,,,,,,,"false",,,,,,,,,,"true",,,,"true",,,,,,,,,,,"true",,,"Alsancak, Kültür Mah, Dr. Mustafa Enver Bey Cd. No:1/1 D:51, 35220 Konak/İzmir, Türkiye","Dental clinic","Cosmetic dentist","Dental implants periodontist","Dental implants provider","Dentist","Endodontist","Pediatric dentist","Periodontist",,,"Dental clinic","7795836020945393081","Konak","false","TR","0x14bbd8582d31c21b:0x6c305f8e93a515b9",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RzG65CKeV2YuyTitwaBr1Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.211628&pitch=0&thumbfov=100","6","false","/g/1td22fvv","38.433007","27.139493","Alsancak","Monday","9 AM to 6 PM","Tuesday","9 AM to 6 PM","Wednesday","9 AM to 6 PM","Thursday","9 AM to 6:30 PM","Friday","9 AM to 6 PM","Saturday","Closed","Sunday","Closed","false","+90 532 342 97 46","+905323429746","ChIJG8IxLVjYuxQRuRWlk45fMGw","35220",,"6","43",,,,,,"2024-12-13T09:44:50.207Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.60035884999998,26.323103111562148,13z?hl=en","diş hekimleri","İzmir","Kültür Mah, Dr. Mustafa Enver Bey Cd. No:1/1 D:51",,"false","Dentorion Ağız Ve Diş Sağlığı Polikliniği","4.8","https://www.google.com/maps/search/?api=1&query=Dentorion%20A%C4%9F%C4%B1z%20Ve%20Di%C5%9F%20Sa%C4%9Fl%C4%B1%C4%9F%C4%B1%20Poliklini%C4%9Fi&query_place_id=ChIJG8IxLVjYuxQRuRWlk45fMGw","http://www.dentorion.com/"
,,,,,,,,,,,,,,,,,,,,"true",,,,"true",,,,,,,,,,,"true",,,"Hacı İsa, Bülent Baratalı Blv. No:64, 35430 Urla/İzmir, Türkiye","Dentist","Dental clinic","Dental implants periodontist","Denture care center","Endodontist","Orthodontist","Orthotics & prosthetics service","Prosthodontist",,,"Dentist","9635072407994530186","Urla","false","TR","0x14bb9362194f9941:0x85b6a74e67ae798a",,"https://lh5.googleusercontent.com/p/AF1QipMQN7kIODyUeQScWV3VK_DCn0aMVWIfvjr5fVBk=w427-h240-k-no","11","false","/g/11gns9f23_","38.3258248","26.7668728","Hacı İsa","Monday","10 AM to 6:30 PM","Tuesday","10 AM to 6:30 PM","Wednesday","10 AM to 6:30 PM","Thursday","10 AM to 6:30 PM","Friday","10 AM to 6:30 PM","Saturday","11 AM to 4 PM","Sunday","Closed","false","+90 533 151 77 59","+905331517759","ChIJQZlPGWKTuxQRinmuZ06ntoU","35430",,"13","24",,,,,,"2024-12-13T09:44:50.091Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,26.457613796687195,13z?hl=en","diş hekimleri","İzmir","Bülent Baratalı Blv. No:64",,"false","Diş Hekimi Mehmet Uğur Türkyılmaz","5","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Mehmet%20U%C4%9Fur%20T%C3%BCrky%C4%B1lmaz&query_place_id=ChIJQZlPGWKTuxQRinmuZ06ntoU","https://www.youtube.com/watch?v=R8THpK53oS4&ab_channel=kanalege-sekt%C3%B6r%C3%B6zel"
,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"Mimar Sinan, 1395. Sk. No:32, 35220 Konak/İzmir, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","13594626063248533535","Konak","false","TR","0x14bbd85fd97e7539:0xbca9d0608a32281f",,"https://lh5.googleusercontent.com/p/AF1QipNjB9wOno7wjEGucoRo5axhLZskoJ-uKXfyNZSH=w408-h272-k-no","8","false","/g/11vhf2qhlb","38.4294062","27.1496431","Mimar Sinan","Monday","10 AM to 6 PM","Tuesday","10 AM to 6 PM","Wednesday","10 AM to 6 PM","Thursday","10 AM to 6 PM","Friday","10 AM to 6 PM","Saturday","11 AM to 4 PM","Sunday","Closed","false","+90 533 359 65 13","+905333596513","ChIJOXV-2V_YuxQRHygyimDQqbw","35220",,"7","49",,,,,,"2024-12-13T09:44:50.207Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.60035884999998,26.323103111562148,13z?hl=en","diş hekimleri","İzmir","1395. Sk. No:32",,"false","Diş Hekimi Batu Önal DUMAN","4.9","https://www.google.com/maps/search/?api=1&query=Di%C5%9F%20Hekimi%20Batu%20%C3%96nal%20DUMAN&query_place_id=ChIJOXV-2V_YuxQRHygyimDQqbw","https://www.internationaldentalstudio.com/"
"true",,,,,,,,,"true",,,,,"true",,,,,,,,"true",,,,,,,,"true",,,,,,,,"Hacı İsa, Narince Sk. No:18, 35430 Urla/İzmir, Türkiye","Dental clinic",,,,,,,,,,"Dental clinic","10271918467665689823","Urla","false","TR","0x14bb93623ac7c443:0x8e8d2f6c62fcfcdf",,"https://lh5.googleusercontent.com/p/AF1QipNuKHZI0a4JgontGEBDlB5r9Tv43DjyG5fj3auV=w558-h240-k-no","27","false","/g/11grbtpyrb","38.3277926","26.7653694","Hacı İsa","Monday","9 AM to 7 PM","Tuesday","9 AM to 7 PM","Wednesday","9 AM to 7 PM","Thursday","9 AM to 7 PM","Friday","9 AM to 7 PM","Saturday","9 AM to 7 PM","Sunday","Closed","false","+90 505 395 34 22","+905053953422","ChIJQ8THOmKTuxQR3_z8YmwvjY4","35430",,"14","283",,,,,,"2024-12-13T09:44:50.091Z","https://www.google.com/maps/search/di%C5%9F%20hekimleri/@38.281579933848874,26.457613796687195,13z?hl=en","diş hekimleri","İzmir","Narince Sk. No:18",,"false","Dent Urla Diş Polikliniği / Gülüş Tasarımı - Şeffaf Plak - İmplantoloji - Çocuk Diş Hekimliği","4.9","https://www.google.com/maps/search/?api=1&query=Dent%20Urla%20Di%C5%9F%20Poliklini%C4%9Fi%20%2F%20G%C3%BCl%C3%BC%C5%9F%20Tasar%C4%B1m%C4%B1%20-%20%C5%9Eeffaf%20Plak%20-%20%C4%B0mplantoloji%20-%20%C3%87ocuk%20Di%C5%9F%20Hekimli%C4%9Fi&query_place_id=ChIJQ8THOmKTuxQR3_z8YmwvjY4","https://denturla.com/"
